Link,Title,Content
https://www.newsday.co.zw/life-amp-style/article/200026672/inaugural-vinyl-festival-prepares-to-launch,"
                     Inaugural Vinyl Festival prepares to launch
                    ","ARTS promoter and curator Eleni Athikati has announced that she will be hosting the first ever Vinyl Festival in Zimbabwe at Ella the Garden in Newlands, Harare from Tuesday May 21 to 26. Athikati, who was born in Zimbabwe and raised in South Africa and Greece, told NewsDay Life & Style that the vinyl record was almost becoming extinct, yet it is the most trustworthy memory bank of Zimbabwean folk and musical history. A vinyl record or a phonograph record (also known as a gramophone record, especially in British English) is described as an analog sound storage medium in the form of a flat disc with an inscribed, modulated spiral groove. Most Zimbabwean music was recorded and stored on a vinyl record and would be played on a radiogram. Fused sungura band Bantu Spaceship whose music was recently recorded on vinyl will headline the Vinyl Festival which has lined up several local, regional and international vinyl DJs. “I have been organising arts events in the garden including Katikitiki Space since 2010 when I came back to Zimbabwe from Greece and identified lots of gaps in the arts industry of which some can be collectively solved. “Artistes have in most cases lamented the misrepresentations by middlemen and artistes can now market and speak for themselves from the Garden and Katikitiki Space,” Athikati told NewsDay Life & Style. “The Vinyl Festival in Zimbabwe will take place at the Ella Garden in Newlands in Harare from Tuesday May 21 to 26. Katikitiki Space will be our main stage and it will mainly be Vinyl DJs, including a performance from the Bantu Spaceship band.” There are many reasons advanced as to why the vinyl record was phased out or became scarce on the market. Athikati believes that the coming of the compact disc, which was more conveniently played on a cheaper play back device was one reason among many others, which include but are not limited to shelving of antiquated vinyl disc cutting machines and the arrival of digitised forms like MP3, mini disc and solely digital discographies. The vinyl can further be described as an analog audio recording pressed in vinyl. The 45 revolutions per minute (RPM) record holds one song per side, while 33 1/3 RPM and long play (LP) record holds an entire album. Athikati clarified that on May 21 there will be a Vinyl Fest launch which will mainly be characterised by meeting and greeting. All evenings will be musical events which feature local and international vinyl DJs, while in the afternoons experts and academics in the music industry will conduct workshops. “Wednesday May 22 afternoon from 12-4pm, there will be a turntable workshop on vinyl and new music hosted by @nyauist (CPT) and Fabian Freedom Youth (CPT) and in the evening 17:00-20:00 hours listening session plus discussion with @bikoemcee; Professor Joosty on Vinyls and Sound System Culture (UK/JHB). “Thursday May 23, 12:00-16:00 there will be Turning Tables 2 DJ Lab workshop hosted by DJ Lua and Farakataza on Women and Vinyl History and in the evening 18:00-20:00 Scratch: Documentary screening and discussion by Tomas Brickhill and Shade of a Woman,” She highlighted. The Gramma Records which housed Zimbabwe Music Corporation and the Record and Tape Promotions was the major supplier of vinyl records in Zimbabwe. Afro-fusion band Mokoomba has also in the recent past made recordings sold on vinyl in Europe, Athikati said. She also mentioned that the Katikitiki Space has a public address system and band kit which has been specifically reserved for small bands which can manage their performances at very low volumes.   "
https://www.newsday.co.zw/life-amp-style/article/200026674/young-jazz-artiste-on-the-rise,"
                     Young jazz artiste on the rise
                    ","BUDDING jazz musician Tawananyasha Chirombedze, whose stage name is “Sparko Gucci — Lion of Zaka”, says artistic growth and creativity have revolutionalised his music which had mainly revolved around natural disasters such as drought and pandemics like COVID-19. He has since grown in his music to reflect on his personal life and surroundings. The 19-year-old musician, who has relocated from Zaka, Masvingo province to Budiriro, in Harare, told Newsday Life & Style that his musical journey dates back to 2018, but his song writing skills were not good enough back then because he could only get ideas for songs from events affecting humanity on a larger scale. “I used to sing about natural disasters and pandemics. I have realised my music has evolved which has allowed me to be creative while reflecting on my life and surroundings. Growing up listening to music of the late Oliver “Tuku” Mtukudzi and Prince Musarurwa became my musical influences,” Chirombedze said. The budding musician said he was privileged to have a father who had a background and passion in the arts industry, specifically entertainment. “Having my father’s backup, who has a background in the entertainment industry, worked in my favour. He once worked for the Zimbabwe Broadcasting Corporation around 2011, while managing musicians and organising shows for the likes of Charles Charamba and Blessing Shumba. This helped me to get the support of my father.” he added. The musician is set to launch his debut seven-track album titled Godo Ramuinaro at Harare Sports Club on June 15. The album consists of Godo Ramuinaro, the title track, Mwana Haasi Wangu, Zvichaita Riini, Chiedza, Jenaguru, Mudiwa Ever and Makorokoto. The musician said the album portrayed how people easily overlook others’ good deeds once they make mistakes.     "
https://www.newsday.co.zw/life-amp-style/article/200026673/a-call-for-entries-to-charity-painting-competition,"
                     A call for entries to charity painting competition
                    ","PROGRAMMES manager for the China Zimbabwe Exchange Centre (CZEC), Donald Rushambwa has implored visual artists from all walks of life in Zimbabwe to take part in a painting competition titled African Charity Fundraiser Competition whose deadline is May 13. In a wide-ranging interview with NewsDay Life & Style Rushambwa said the selected artworks would be showcased in Shanghai, China, from May 25 to 30. “Painters should submit a canvas portrait of 80cm by 60cm on a selected theme of their choice from their portfolios that either address clean water and sanitation, wildlife protection, education, love for life and nature or Sino-Zim relationships. “The winning and approved selected artists shall sign a licensing agreement for their work with CZEC,” Rushambwa explained. The competition is a fundraiser whose proceeds shall be channelled towards charity organisations in Zimbabwe which spearhead community development projects. “We observed that there are limited means of sourcing funds; as such we came up with a competition or facility whereby artists from the communities can seed their paintings towards community development and CZEC will exhibit them at the forthcoming African Charity Fundraiser Competition in Shanghai, China this May 25 to 30. “The artists stand a chance of partaking in future invitations to China for their own exhibitions or cultural exchange programmes. Once the paintings are sold, an honest transaction will be channelled towards the home town or city or the artist’s place of choice for developing issues and concerns like borehole drilling, schools and road construction, housing development, scholarships, stationery supplies, wild life preservation, tree planting and community gardens. “Our extensive marketing has in the past yielded business leads for the artists. As testimonies to this we have the likes of the late Antony Bumbira, Batsirai Muskwe and Hope Mafeko. The artists except for Bumhira have since chosen projects of their choice in their communities. The names of the artists who seed their artworks shall be inscribed on the walls of all the developmental projects which are funded through the proceeds from their artworks,” he clarified. Rushambwa also revealed that their organisation is prioritising continued education and responsible citizenship for the artists and the youths. “We need to increase the market share for the Zimbabwean creative work, while observing and being wary of patents and copyright protection. Our organisation is highly involved in youth activities that enable citizens who love their communities. Likewise artists shall receive further training in their various capacities,” he added. Meanwhile, CZEC will be represented at the forthcoming China-Africa Expo in Kenya by its sister organisation Dream Building Supporting Association.   "
https://www.newsday.co.zw/life-amp-style/article/200026630/multi-media-expos-to-improve-zims-broadcasting-sector,"
                     Multi-media expos to improve Zim’s broadcasting sector
                    ","SOUND engineer Mbaki Nleya believes that the country’s broadcasting sector can do better through exposure to multi-media technology which is necessary for the advancement of quality and service delivery. Nleya, who started the country’s first multimedia exhibition in 2017 with very few attendees, told NewsDay Life & Style that the number of people attending has increased over the years, attracting exhibitors from countries such as Germany and the United Arab Emirates. “I got inspiration to start multi-media exhibitions because the country needs to broadcast even better. I noticed that there are a lot of opportunities in the country, for example there was no college that trained professional audio in the country and I found an academy called Audio Academy and there were no exhibitions for multimedia then I started one,” he said. Nleya mentioned that it is not advisable to enter an oversubscribed sector, but one should start something new and make a difference to help to develop the country. The sound engineer will hold the third edition of the multi-media exhibition on June 26 and 27 dubbed Audio & Visual Expo under the theme Innovate to Elevate: Enhancing Creativity and Entrepreneurship at Nelson Mandela Hall, Harare Showgrounds. The expo will accommodate exhibitors from various industries including sound PA systems technology, broadcasting (radio and television), cameras, drone technology, lighting technology and multi-media technology, among others. Nleya said feedback from the previous editions of the event was encouraging. The expo provides a platform to grow the local showbiz scene and also helps many industry stakeholders to find and discover business opportunities through exposure, workshops and interactions with exhibitors. The event is open to anyone who works or has interest in the entertainment technology industry. However, children under the age of 16 will not be allowed to enter unless accompanied and supervised by a responsible adult for educational purposes. "
https://www.newsday.co.zw/life-amp-style/article/200026631/mablerh-back-to-host-the-real-housewives-of-durban-reunion,"
                     MaBlerh back to host The Real Housewives of Durban reunion
                    ","SHOWMAX, an African streaming service, has announced that MaBlerh will host The Real Housewives of Durban reunion for the second year in a row. MaBlerh has become the first African to host multiple reunions of The Real Housewives franchise, including The Real Housewives of Gqeberha S1 and The Real Housewives of Johannesburg S3. The Season 4 finale of The Real Housewives of Durban dropped on April 24 and to no one’s surprise, it broke the internet and became the number-one trending topic in South Africa. After an eventful and dramatic season, the ladies had their final dinner on their trip to Namibia, where they confronted each other about things that had been happening in their circle. The confrontations resulted in the ladies splitting into two core groups. On the one side were Sorisha Naidoo, Slee Ndlovu and newcomers Ameigh Thompson and Angel Ndlela. On the other side, Jojo Robinson, Maria Valaskatzis, Nonku Williams and newcomer Zama Ngcobo, with the ladies from each camp not seeing eye-to-eye, viewers have a lot of unanswered questions. The drama is far from over, as Showmax will be airing the reunion in two parts on May 15 and May 22. “I know how heavily invested the audience is in The Real Housewives of Durban, which is why I can never go in there and be flippant,” MaBlerh said. “There are people who wake up at midnight to watch the show, so I know that I must take it seriously and deliver on all fronts. I am honoured to be breaking the record for an African host and I’m excited to be back for the second time: it’s going to be a more comfortable experience for the ladies because we now have a rapport.” MaBlerh has promised viewers that he is not going to leave any stone unturned. “When I approached the reunion last year, it was different. Things were very heated, and the ladies were barely speaking to one another, so I had to be very sensitive and aware of everything that had happened. “With Season 4, it is going to be different because it is not the same season, but I am still going to get to the bottom of things, and I will hold the ladies accountable for the things they have said and done.” MaBlerh said he was there to represent the audience, who have made the show successful. “I am there to represent the viewers. I have been watching the tweets, I have been watching the concerns and comments and, trust me, all of those things will be addressed. I do not operate in a vacuum,” he said. “I watch, and after every episode, I am on social media looking at what the sentiment is. If you have tweeted under the hashtag #RHODurban, your concerns will be covered.” The Let it Rain Films’ executive producer Sam Kelly said they had chosen MaBlerh because he was a big fan of The Real Housewives franchise and had a very deep connection with the Durban franchise. “MaBlerh is a fantastic host and he did a spectacular job last season; he managed to tackle the themes with the grace and sensitivity they needed,” Kelly said. “On why people need to watch the reunion, Kelly said: “It has been a crazy season and the reunion will be your chance to understand all sides of the story. You will see things from everyone’s perspective.” The first season of The Real Housewives of Durban set a then-record on Showmax for the most first-day views and went on to be released in 28 territories outside Africa on Hayu, Peacock and Bravo, the original home of The Real Housewives franchise. Seasons 2 and 3 were among the 10 most-streamed titles on Showmax in their launch years and are currently streaming on Hayu. Meanwhile, the second season of The Real Housewives of Nairobi is set to premiere on Showmax on May 10 with new episodes every Friday. The Real Housewives of Nairobi follows the lives of the most stylish, opulent and hardworking women in Kenya as they navigate their relationships and careers. The season 2 features returning cast members Dr Catherine Masitsa, Minne Kariuki and Vera Sidika, who will be joined by newcomers Farah Esmail, Reja Keji Ladu and Zena Nyambu. "
https://www.newsday.co.zw/life-amp-style/article/200026596/hearing-impaired-having-it-rough-in-healthcare,"
                     Hearing-impaired having it rough in healthcare
                    ","THE Deaf Arts National Culture Entertainment (Dance) has raised concern over the challenges its members are facing in accessing healthcare in Zimbabwe. The organisation identified some of the challenges as shortages of interpreters whenever they visit healthcare centres. Dance projects manager Tsungirirai Tsikira said rigorous efforts must be made to deal with the challenges facing the hearing impaired community. She was speaking as Dance prepares for its third show in Bulawayo and fifth in Zimbabwe with the stage production expected to amplify an awareness message and advocacy for the challenges the hearing impaired community faces at healthcare facilities. “Our project is called The Silent Stage because what we say from the stage you will not be hearing anything and the only thing that you will hear will be voices of the interpreters seated in the audience,” Tsikira said. “The programme that we are running is called Celebrating deaf culture: A journey of theatrical inclusion and empowerment. It is about empowering the deaf community through theatre and it is a first in Zimbabwe to have a deaf drama group.” The production will be spreading the message through a performance so that others can understand the challenges the deaf community faces. “Through powerful storytelling and compelling performances, the production sheds light on the profound impact of interpreter shortages on accessibility and understanding in healthcare. “This is made possible through the help of sign language interpreters who will be voicing everything that will be said on stage. “With each performance, the team behind The Missing Bridge demonstrates an unwavering commitment to fostering empathy and understanding for deaf individuals’ experiences.” Tsikira said recent engagements at prestigious events such as the Shangano Arts Festival in Hwange and the heartfelt reception in Beitbridge had reinforced the importance of the ongoing dialogue. Tsikira said they were thrilled to see the impact The Missing Bridge had during the tour of Zimbabwe. “Our journey has been one of growth and impact, and we are grateful for the opportunity to continue sharing these important stories with audiences across the country,” she said. Dance will be taking its production to the Midlands province as it spreads the message across the country. “Looking ahead, The Missing Bridge has set its sights on Gweru for its next stop towards the end of May. With the support of Culture Fund CreativeActions2 and the EU delegation to Zimbabwe, the production remains committed to its mission of provoking thought and inspiring action towards a more inclusive society,” she added. "
https://www.newsday.co.zw/life-amp-style/article/200026598/gemma-griffiths-pays-tribute-to-bob-nyabinde,"
                     Gemma Griffiths pays tribute to Bob Nyabinde
                    ","AFRO-POP songstress Gemma Griffiths is basking in the glory of her newly-released single which includes a sample from the late jazz icon Bob Nyabinde's Chabuda Hapana. The song titled Where I'm Going has won many hearts on digital platforms as she creatively added a classic spark to her music. In a social media post prior to the release of the project, the musician expressed heartfelt appreciation to the late icon for his inspiration and guidance. “To my friend and mentor, the late Bob Nyabinde, thank you for your guidance and inspiration.” Griffiths said. Nyabinde, who was popularly known as the Headmaster, rose to prominence with his Chabuda Hapana track from the album Panenyaya which earned him a Zimbabwe Music Award gong in 2003 in the Best Afro-jazz Artiste category. He passed away in December last year at the age of 68 after a long battle with diabetes. Griffiths rose to fame with her duet with dancehall president Winky D titled MuGarden which garnered the fastest YouTube views shortly after release and made it to number one on the BBC Afrobeats charts. Apart from working with Winky D, Griffiths has worked with several other musicians such as Baba Harare, Bling 4 and Ammara Brown and has since released songs on her own which include Maita Basa Baba, Ndichatarisa and Titungamirei, among others. "
https://www.newsday.co.zw/life-amp-style/article/200026597/mono-mukundu-lauds-mokoomba,"
                     Mono Mukundu lauds Mokoomba
                    ",
https://www.newsday.co.zw/life-amp-style/article/200026577/drug-abuse-scourge-also-taking-a-toll-on-women,"
                     ‘Drug abuse scourge also taking a toll on women’
                    ","URBAN GROOVES musician Trevor Dongo has revealed that although much emphasis is placed on men as victims of drug and substance abuse, women also face the same predicament due to abuse in relationships. Writing on his social media handles, the musician said: “Whenever we mention drug abuse, we think of men mostly, but forgetting that there are also women who are victims of substance abuse. Some of these women are driven into taking drugs due to abuse, be it in marriages or relationships. Love should not hurt.” The World Health Organisation (WHO) indicated in a report published this year that globally about one in three women (30%) of women worldwide had been subjected to either physical or emotional violence by sexual partners or non-partners in their lifetime. “Most of this violence is intimate partner violence. Worldwide, almost one third (27%) of women aged 15-49 years who have been in relationships report that they have been subjected to some form of physical and/or sexual violence by their intimate partner,” the report established. The report further noted that violence can negatively affect women’s physical, mental, sexual and reproductive health and may increase the risk of acquiring HIV in some settings. The report also indicated that these forms of violence lead to depression, post-traumatic stress disorders, sleep difficulties, eating disorders and suicide attempts while an analysis carried out by the organisation also revealed that women who experienced intimate partner violence are almost twice likely to experience depression and problem drinking. “Sexual violence, particularly during childhood can lead to increased smoking, substance use and risky sexual behaviours. It is also associated with perpetration of violence (for males) and being a victim of violence (for females),” WHO noted. "
https://www.newsday.co.zw/life-amp-style/article/200026578/us-fans-inspire-freeman,"
                     US fans inspire Freeman
                    ","ONE of Zimbabwe’s most successful dancehall artistes Energy Chizanga, alias Freeman was charmed by the reception he received from fans during his maiden tour to the United States. Freeman performed recently at the Zim Cultural and Music Festival in Dallas Texas, at an event sponsored by Xcelerate Enterprises owner Bevan Makaka. Other local artistes who performed in Dallas at the two-day festival on March 28 were Trevor Dongo, Tariro Gezi and Julian King. Freeman told NewsDay Life & Style that apart from inspiring him to produce more music, the tour boosted his career by exposing him to new fans, networks and performance opportunities. “My recent tour to Dallas was an incredible experience. Performing in the US for the first time was a dream come true,” he said. “The audience was great and I felt humbled by their warm welcome. The energy and enthusiasm were tangible. “I loved seeing people from different backgrounds enjoying my music together. It showed me the power of music to bring people together.” "
