Link,Title,Content
https://www.newsday.co.zw/business/article/200026671/zimplats-nominates-new-external-auditor,"
                     Zimplats nominates new external auditor
                    ","ZIMPLATS Holdings’ board of directors have nominated Axcentium as the company’s external auditor, effective October 31, 2024, subject to shareholder approval. The nomination follows Deloitte Africa (Deloitte)’s announcement of a management buy-out of Deloitte Zimbabwe by its local partners following its decision to exit Zimbabwe. Deloitte’s exit from Zimbabwe will be effective from October 31, 2024. Deloitte Zimbabwe will remain an affiliate of Deloitte Africa until the effective date, after which Deloitte Zimbabwe will trade under the name Axcentium. “Axcentium’s nomination follows a rigorous due diligence process and considers the company’s external audit requirements after October 2024,” Zimplats said in a statement. “The board of directors is satisfied that Axcentium has the qualifications, expertise, competence, independence and historical knowledge of the company to ensure a smooth transition, while delivering external audit services at the required level of expertise.” A resolution proposing the appointment of Axcentium as Zimplats’ external auditor will be put before shareholders at the company’s 2024 annual general meeting. Zimplats spent US$789 million during the quarter to March this year towards major capital projects, including the development of Mupani and Bimha mines upgrade as the platinum group metals miner expands operations. The Bimha and Mupani mine development and upgrade projects will replace production from Rukodzi, Ngwarati and Mupfuti mines. Cumulatively, US$395 million had been spent on these projects as at March 31, 2024, against a total project budget of US$468 million. The firm spent US$340 million on the smelter expansion and SO2 abatement plant against a total project budget of US$521 million. The report noted that US$27 million had been spent on the implementation of the 35 megawatts solar plant project to date, against a budget of US$37 million. The company also expended US$27 million on the execution of the Base Metal Refinery refurbishment project, against a total budget of US$190 million. The projects are part of Zimplats’ US$1,8 billion expansion programme.   "
https://www.newsday.co.zw/business/article/200026667/zig-brought-more-misery-for-consumers-ccz,"
                     ZiG brought more misery for consumers: CCZ
                    ","THE Consumer Council of Zimbabwe (CCZ) says the Zimbabwe Gold (ZiG) currency has brought more “challenges” for consumers than those they faced prior to its introduction, because people are failing to use the new currency outside the formal retail sector. ZiG was introduced last month to replace the Zimbabwe dollar, but the new currency has faced public resistance, especially from commuter transport operators, making life difficult for consumers. “As the Consumer Council of Zimbabwe, we were delighted when we heard that we are going to have a currency backed by gold reserves being announced by the governor of the Reserve Bank of Zimbabwe,” CCZ chief executive officer Rosemary Mpofu told NewsDay Business in an interview. “We were very excited because we heard the country had enough gold to back the new Zimbabwe Gold currency. We very much believed that when the currency is backed by gold and other commodities, it would give more value to our currency.” She said they believed that the money would give people more buying power like such other currencies as the South African Rand, Botswana Pula and the United States dollars. “With that being said, as consumers, we are facing several challenges, which has resulted in us failing to easily accept the new currency,” Mpofu said. “These challenges have greatly impacted the acceptance of the new local currency by consumers in the country. It seems the new currency has brought us more challenges than those we faced before the introduction of the Zimbabwe Gold currency.” Mpofu noted that commuter operators were not eager to accept the new currency and were charging the public double the normal price because they cannot provide change. “When boarding public transport on our everyday normal routes, we see that the same route that we used to travel using US$0,50, we are being charged US$1 because of change challenges,” she said. “Sometimes we are forced to buy things that we do not want just for us not to leave our money with public transport operators. The same route that I used to travel using US$1, to and from, the price has doubled.” She also complained about how consumers were failing to buy fuel using the new currency despite the Zimbabwe Energy Regulatory Authority (Zera) announcing fuel prices in ZiG. “Moreover, when it comes to fuel in the country, it was announced recently that consumers are now able to buy fuel in local currency and Zera announced the ZiG prices for fuel. However, we have not seen any fuel station that is accepting ZiG in exchange for fuel. We did a survey and also consulted with Zera and we discovered that so far, no fuel station is accepting ZiG,” she noted. Mpofu also expressed her worry that service providers were rejecting the new currency, while others were still manipulating the exchange rate. “Another challenge is emanating from schools. Several schools are rejecting the payment of fees using the new currency only accepting the US dollar. Where else are we going to use the ZiG currency? “So far, the only place we can use the ZiG currency is in the supermarkets. Why are the service providers rejecting the ZiG currency?” she quizzed. “Another pressing issue is that of the exchange rate. We were told by the central bank that the rate will be at US$1: ZiG13,56 with an allowance of service providers to have a margin of up to ZiG14 according to statutory instrument 118. “However, we are seeing some charging with rates as high as US$1: ZiG21. We need to know what RBZ [Reserve Bank of Zimbabwe] and the FIU [Financial Intelligence Unit] are doing to deal with this.” She urged the authorities to address these pressing issues and restore confidence in the new currency. “So as CCZ, these are some of the challenges that consumers are facing, and on behalf of the consumers, can the authorities look into these issues to bring confidence in this currency?” she queried. “They need to make sure that all businesses comply with the set exchange rate because they are the ones destabilising the new currency. Moreover, the authorities should continue dealing with the black market and should continue to arrest all the culprits. “Without addressing these issues, we are going to miss the target of reaching an upper middle-income economy by 2030,” she added.   "
https://www.newsday.co.zw/business/article/200026661/dairy-industry-under-threat,"
                     Dairy industry under threat
                    ","RISING costs, which are accounting for 70% of total expenses, are threatening the sustainability of Zimbabwe’s dairy industry, NewsDay Business has learnt. The cost of feed stock largely accounts for total expenses. Zimbabwe Association of Dairy Farmers (ZADF) chief executive officer, Paidamoyo Chadoka said local dairy products were uncompetitive due high production costs, which has resulted in cheap dairy products from neighbouring countries, particularly South Africa, flooding the market. “Zimbabwe lacks competitiveness due to the unsustainably high cost of production compared to regional counterparts,” she said. “Our cost of production is mainly driven by stock feeds costs, labour and cost of power, critical components which are too high when compared to other countries. “The producer price of milk per litre in Zimbabwe averages US$0,60 compared with an average price of US$0,40 per litre in South Africa, US$0,36 in Zambia, US$0,50 in Botswana and a world average of US$0,46 per litre. “The high-cost environment pushes our producer prices to be among the highest in the region. At this price most farmers are struggling to break even. The high costs of feed also compromise our milk yields significantly when compared to other regional players.” She said ZADF has launched a nationwide artificial insemination initiative aimed at improving the nation's dairy cow population and milk production. The programme seeks to elevate milk output to meet the country's increasing demand. The programme is in collaboration with key development partners such as We Effect under an International Monetary Fund project. ZADF says Zimbabwe recorded a 9% surge in milk production to 99,82 million litres in 2023 from 91,39 million litres the previous year. However, the country's annual milk requirement hovers around 120 million litres, and imports are currently bridging the gap. Chadoka highlighted the association's efforts to make semen available at subsidised rates. She emphasised that artificial insemination was an efficient method to boost dairy cattle herds, noting that ZADF was targeting all farmers, including beef producers interested in dairy genetics. “ZADF is working with all dairy farmers and some beef farmers who are willing to take up dairy genetics across the country,"" she said. “ZADF is targeting farmers in the traditional milk producing regions as well as greenfield regions taking up milk production for the first time.” While the prevailing El Niño-induced drought has also severely affected the country’s dairy sector, recent data from the Dairy Services Department, has, however, revealed a 21% increase in  milk production during the first quarter of 2024, compared to the same period last year.   "
https://www.newsday.co.zw/business/article/200026634/vumbachikwe-mine-faces-corporate-rescue,"
                     Vumbachikwe Mine faces corporate rescue.
                    ","SOME Vumbachikwe Mine creditors are advocating that the company be placed under corporate rescue, claiming the firm was heading towards insolvency, NewsDay Business can reveal.  Vumbachikwe Mine, situated in Gwanda and owned by Duration Gold, reportedly owes various creditors, including workers, the Zimbabwe Revenue Authority and Zesa Holdings more than US$10 million. Priscillar Gustavo of Masamvu and DaSilva-Law Chambers, who is representing Fawcett Security Operations, said they have initiated the process of placing Vumbachikwe Mine under corporate rescue. “The application (is) in terms of the Insolvent Act 2018 which replaced the judiciary management and introduced the corporate rescue was served to the company on April 25, that a corporate rescuer be appointed to save the company,” she said. NewsDay Business is in possession of the court application filled at the High Court on April 25. In its founding affidavit, Fawcett said it has provided private security services on contract to Vumbachikwe over the past approximately 10 years. “Since about 2022 the 1st respondent has had challenges paying for the security services rendered by applicant at its Vubachikwe Mine as and when such payments fell due,” the affidavit reads in part. “By a letter dated April 20, 2023 the 1st respondent acknowledgement its indebtedness to the applicant in the sum of US$170 000 being the amount due and owing as at that date in respect of private security services rendered by the applicant for the period from 2022 to 2023 at Vubachikwe Mine.” Vumbachikwe has not been operating since November 2022 after workers downed tools over outstanding salaries and poor working conditions, among other issues. Sources told NewsDay Business that the case would be heard in court tomorrow (Friday). Reached for comment Vumbachikwe Mine spokesperson Robert Mukondiwa said: “I cannot comment on something that I have not seen because that would be speculation. I need to see it and consult our legal team because what you are talking about is a legal document.” Duration also runs Gaika Mine, Athens Mine and Royal Family. "
https://www.newsday.co.zw/business/article/200026633/industry-minister-engages-businesses-over-zig,"
                     Industry minister engages businesses over ZiG
                    ","INDUSTRY and Commerce minster Mangaliso Ndlovu says he will be establishing very “close communication” channels with industry over the next two weeks to find areas of co-operation. This is a follow-up to a meeting which Ndlovu had with retailers on Monday this week to discuss the impact of the Zimbabwe Gold (ZiG) currency on their business. According to Ndlovu, manufacturers were increasingly demanding payments in United States dollar. “Government will always support such investments,” the minister said after touring two new National Food Holdings Limited plants yesterday. He toured a US$5,6 million pasta manufacturing plant and a US$7,7 million biscuit making line. “It gives confidence for them to continue investing. And like I say, I’m very excited when it’s a strategic investment that either leads to import substitution or growth of our exports,” he said. “These are areas that we will be supporting quietly strongly. We will be establishing in the next week or two, I think, very close communication channels across industry just to make sure that from a policy perspective we work together with the private sector.” Ndlovu said the ministry would be crafting most of these policies in that framework. “We will make sure that we take on board the valuable views coming from industry,” Ndlovu said. Amid inflationary challenges being faced in the market, made worse by the current drought, industry needs policy consistency to continue operating. However, Ndlovu said government supports investments such as those by National Foods which lead to import substitution and lower demand for foreign currency. National Foods Holdings’ investment into the two new plants is part of a wider US$40 million investment over the past three years to upscale its production levels across the entire business. National Foods Holdings chief executive officer Mike Lashbrook said while drought remained a threat, the firm was confident that it had enough grain to produce up to June 2025. "
https://www.newsday.co.zw/business/article/200026603/invictus-identifies-multiple-gas-potentials,"
                     Invictus identifies multiple gas potentials
                    ",
https://www.newsday.co.zw/business/article/200026599/london-firm-targets-bulk-mining-in-zim,"
                     London firm targets bulk-mining in Zim
                    ","LONDON Stock Exchange-listed metal exploration company Kavango Resources is consolidating bulk-mining to increase Zimbabwe’s gold production, NewsDay Business can report. The company, which has begun work at its Hillside gold project in Matabeleland South province, disclosed that the nation’s bulk-mining potential remained largely underdeveloped as the process requires the open pit mining of a large ore body in order to be economic. “Kavango has consolidated strategically-sized land packages around a number of historic high-grade gold mines in the Matabeleland region of Zimbabwe,” the mining firm said in a statement following release of assay results for its Hillside project. “The company’s objective is to investigate their wider, under-developed bulk-mining potential. Bulk-mining is the large-scale extraction of near-surface gold from vast open-pit mines. Because of the large quantities of ore being processed, bulk mining allows gold to be produced economically from lower-grade material than high-grade underground mining.” Open pit mining has become the dominant style of mining in Western Australia and has been the primary driver behind Australia’s emergence as the world’s leading gold producer in recent decades. The firm believes Zimbabwe’s geology mirrors that of Western Australia as the country has a rich history of high-grade gold mining across its greenstone belts. However, it added that Zimbabwe’s potential to host a multitude of large-scale, bulk minable gold deposits remained largely undeveloped presenting the nation with an immense economic opportunity. Kavango said many of Zimbabwe’s historic high-grade mines and the areas surrounding them were split into small ground claims held by various owners. As the firm is consolidating claims into packages on the scale required for economic bulk mining to take place, it indicated that it was using modern exploration and drilling techniques to assess potential for hosting open pit mines, helping to modernise Zimbabwe’s gold mining industry. “Kavango began an exploration and drilling programme across its three existing projects late last year, starting with its Hillside project. Work began at Hillside, and results so far have exceeded the company’s expectations, providing strong evidence of the project’s open pit mining potential,” it noted. “Last month, Kavango revealed that assays from drilling at Hillside Prospects 2 and 4 had returned wide areas of significant gold at shallow depths.” Kavango’s next steps at Hillside are expected to see the testing of the gold-bearing potential of the shears it has interpreted at Prospects two and three with a series of drill holes. This is expected to enable it to test the potential for a bulk mineable gold deposit across the entire shear zone at both prospects. The company is also awaiting assay results from Hillside Prospects 1 and 4. Drilling is also underway at its Nara project to test a 200-metre wide by five kilometres long strike corridor within the property, which have been interpreted as a potential shear zone. Drilling is also planned at the Leopard project. "
https://www.newsday.co.zw/business/article/200026602/westprop-plots-mega-capital-raise,"
                     WestProp plots mega capital raise
                    ","VICTORIA Falls Stock Exchange-listed WestProp Holdings Limited is in talks with “several parties” as it moves to ensure the success of another capital raise expected in the next three months to accelerate its projects. The discussions come a year after an initial public offering (IPO) raised about a tenth of the amount required after shareholders subscribed to preference shares worth US$3,3 million out of the US$30 million that was on the table. WestProp chief executive officer Ken Sharpe told NewsDay Business that the company was “getting ready” for another capital raise. He said the lesson learnt from last year was that WestProp was supposed to do a book building exercise to whet the market’s appetite about the IPO. The book building exercise, Sharpe said, was a pre-marketing of the capital raise “to make sure that the market has an appetite and the capacity to fund the amount that you need”. “We are in discussions with several parties. We expect an announcement to be made within the next two to three months of a significant transaction on capital raise that will change the trajectory of the company dramatically. We are busy doing those book building exercises now,” he said. Last week, WestProp began the development of the US$300 million mixed-use Hills Luxury Golf Estate as its urban renewal push intensifies. Its other projects include Millennium Heights which is ongoing, Pokugara Residential Estate, Pomona City (ongoing), The Mall of Zimbabwe and Millennium Heights Office Park. WestProp executives were recently on a roadshow in the United States to raise more interest in their projects. For Sharpe, it was a significant moment announcing a development happening in Zimbabwe like the Hills Estate in Washington, the world’s “capital”. “I felt proud that we as Zimbabweans can get things that can be recognised by the international community. “In the capital city of one of the world’s powerhouses and announcing that Zimbabwe was going to be doing something exceptional, something that is a game changer, something that raises the bar, for me was humbling,” he said. “This gave me the confidence that this is not the first roadshow nor the last, but the first of many that we will be doing in the diaspora. Our brothers and sisters out there have access to several billions of United States dollars. That is enough money to rebuild our country.” Sharpe said while international financiers can come on board it would be more exciting when “Zimbabwean brothers and sisters” take money from their pockets and send it home. “As WestProp we are ready to build the country together and we know that with their commitment it would be much faster. We have several people committed to the project from that event and we will continue doing the roadshows.” he said. He, however, bemoaned the absence of mortgage facilities by banks which he said was not normal for any economy. “We are not a bank, but our mortgage book of US$24 million growing to US$30 million is bigger than any bank in Zimbabwe; that is not normal, that is not possible. Why are banks not providing mortgages? “Why are they not accessing international markets for mortgage-backed securities which could be sent to Zimbabwe? Sanctions have gone, but they are not active enough. My message to them is please be more active,” he said. Sharpe said the central bank could lend the statutory reserve to commercial banks at concessionary rates for lending to the real estate and manufacturing sectors, among others, as “we know we are productive”. Recently the central bank increased the statutory reserves to 20% from 15%. “We are not going to put that money into consumption. We are going to put that into permanent infrastructure that develops our country and create value. And, when we do that, the economy grows,” he said. "
https://www.newsday.co.zw/business/article/200026600/general-beltings-seeks-to-consolidate-market-position,"
                     General Beltings seeks to consolidate market position
                    ","ZIMBABWE Stock Exchange-listed General Beltings (GB) expects to consolidate its market position in the energy and cement manufacturing sectors in response to the impact of geo-political conflicts and El Niño-induced drought. In a statement accompanying financial results for the financial year 2023, GB chairperson Godfrey Nhemachena said Cernol Chemicals was also expected to consolidate its traditional market recovery as new models of hospitality offerings evolve. “The company expects to consolidate its market position in the energy and cement manufacturing sectors in addition to the other non-platinum group minerals as envisaged in the National Development Strategy 1 which is underpinned by the growth in the mining sector,” he said. “Cernol Chemicals is expected to consolidate its efforts in traditional market recovery as new models of hospitality offerings evolve. Existing and new strategic partners being pursued are expected to strengthen market positioning in new market niches.” Nhemachena said the geopolitical conflicts in Europe and the Middle East will continue to impact on demand patterns of mineral commodities in the short to medium term as there were no signs of cessation to the conflicts. Due to geopolitical tensions, mineral reserves will flood the markets and depress demand for minerals that Zimbabwe would ordinarily supply. This, according to him, will force local mines to curtail production or mothball operations. “These developments would in turn negatively affect the company’s downstream demand. Despite the depressed demand in the economy, the group saw total volumes at 921 tonnes, 2,5% shy of the prior year’s 944 tonnes due to improved throughput at GB division. “Cernol Chemicals market recovery efforts yielded a lower than expected outcome with volumes marginally lower than the prior year,” Nhemachena said. “Although price competition intensified in the year, total turnover at ZWL$29 billion increased by 99% when compared with prior year’s ZWL$15 billion due to sustained volumes from prior year at General Beltings and a favourable market mix at Cernol Chemicals. “Owing to the USD imported inflation and a deteriorating exchange rate in an increasingly dollarised environment, the gross profit at ZWL$11 billion was 38% higher than the prior year's ZWL$8 billion.” The company benefited from improved internal process efficiencies, which arose from scheduled plant maintenance and refurbishment. Operating costs rose by 150% to ZWL$15 billion in the prior year due to the effects of inflation and dollarised quasi institution costs. Operating profit declined by 150% to sit at ZWL$2 billion on the back of increased dollarisation and inflationary pressure. "
https://www.newsday.co.zw/business/article/200026610/econet-says-it-wants-to-make-all-remittances-into-zimbabwe-free,"
                     Econet says it wants to make all remittances into Zimbabwe free
                    ","Econet Wireless Zimbabwe, the country’s largest telecommunications and technology company, says its decision to make remittances from United Kingdom and South Africa free has been well received and should remain in force “for the foreseeable future”.  Econet’s group chief executive, Douglas Mboweni, said the initiative would remain in place for some time, adding that the company was in fact exploring ways of expanding the free remittance initiative to other routes, such as the United States, Europe and Middle East. “The initiative will continue for the foreseeable future. We are now actually working on expanding the free remittances to Zimbabwe to other source markets, such as the US, Europe and Middle East, so that Zimbabweans with friends and family in those regions can also benefit from our offer,” Mboweni said. “However, our group currently does not have licenses that allow us to extend the service to all markets at this time. But we are busy looking at how we can do that,“ he said. Last week Econet achieved an Africa first by opening free remittance corridors that completely eliminate the cost for remittances from the UK and South Africa into Zimbabwe. This followed the company partnering with its sister company, Sasai Money Transfer, to enable individuals and companies in the United Kingdom and South Africa to send money into Zimbabwe free of charge, with the receiver cashing out of their EcoCash US dollar wallet for free. Dr Mboweni said the market reaction to the initiative had been very positive, adding that he expected many people to start channelling remittances via Ecocash. He said there were virtually no minimum limits to how little one can send at any given time. “If someone from the UK wants to send $5 to someone in Zimbabwe, it’s ok with us. We can handle small or large amounts and it’s done in an instant.” “We believe EcoCash’s extensive network, already in use for domestic USD transfers around the country, and in particular in the rural areas, will be key in providing convenience to people in remote villages and districts to access their funds,” Mboweni said. Last week Mboweni explained that the decision to offer free remittances had been motivated by the desire to help Zimbabweans weather the challenges caused by drought.  The country recently declared a national disaster over a drought caused by the climate event known as El Niño, which has left more than 2.7 million people in need of food aid.  Some analysts and experts have urged the government to take advantage of the intermediation role of Ecocash to allow ZiG cash-in and cash-out, thereby building confidence in the new currency. "
