Link,Title,Content
https://www.newsday.co.zw/opinion-analysis/article/200026743/mthuli-the-anti-devolution-face,"
                     Mthuli: The anti-devolution face
                    ","THE Zanu PF administration is against devolution and its actions of late confirm that its agreement to devolution clauses were just to get the new Constitution passed. The inclusive government of 2009 to 2013, after the disputed 2008 presidential polls, had a task to produce a new governing charter for Zimbabwe. It should be remembered that the process was nominally led by Parliament and was being driven by the Executive — the principals. Parliament, at the time, consisted of Zanu PF and two factions of the opposition MDC party — one led by Morgan Tsvangirai and the other by Welshman Ncube. The MDCs had a 10-seat majority in Parliament and for the first time Zanu PF experienced what it feels like to be in opposition or running a minority government. Minority governments are a phenomenon of the Westminster parliamentary system. Zanu PF was a minority in Parliament, but the President was from the party. It meant that the party had to build consensus on any policy decisions before they were announced. The constitutional review process was done in the spirit of the triumvirate, Zanu PF and the two MDC formations. It is clear and supported by multiple independent and reliable sources that the two big parties in the coalition — Zanu PF and Tsvangirai-led MDC were not keen on devolution. The Ncube-led MDC was the only one seriously concerned about devolution. There are a number of reasons why the parties took these positions. Zanu PF and Tsvangirai-led MDC had the potential to win a national election and thus form a strong central government. Meanwhile, the Ncube-led MDC was more of a provincial/regional political entity and its success could only be seen in the area they were likely to win, hence it needed some power to control the affairs in areas it won elections. It is now 11 years after Zanu PF won the 2013 elections, the first after the adoption of the new Constitution. However, it seems it has deliberately refused to implement the devolution clauses in the Constitution for selfish reasons. Firstly, Zanu PF is now a rural party and elections since 2000 have proved that. And secondly, urban areas are the engine of economic growth and allowing them to be controlled by the opposition will expose them to being poor administrators. Zanu PF is politically lucky that the main opposition — successor to Tsvangirai-led MDC — is also anti-devolution and has incompetent councils that have become champions of corruption and mismanagement. No one is seriously considering implementing devolution in the letter and spirit of the Constitution, except maybe David Coltart the Bulawayo mayor. And it is no coincidence he was a senior member of the Ncube-led MDC. It is clear that no one has the appetite for devolution among those in the political ring, except a few voices from civil society which deal with constitutionalism. Then we turn to this week’s event that seems to be the final nail into the devolution question. Finance minister Mthuli Ncube played another trick on the citizens or he was merely being used by the Executive to deliver the bad news. After Tuesday’s Cabinet meeting the following statement was issued: “Cabinet considered and approved the draft Zimbabwe Inter-Governmental Fiscal Transfers Administrative Manual as presented by the Minister of Finance, Economic Development and Investment Promotion, Honourable Professor Mthuli Ncube,” before adding: “The nation is informed that Inter-Governmental Fiscal Transfers from central to lower tiers of government are provided for under Section 301 of the Constitution. These transfers are meant to support the devolution of powers and responsibilities, with not less than 5% of national revenues raised in any financial year being allocated to provinces and local authorities.” Did Ncube deliberately misquote the section? Section 301(1) reads: “An Act of Parliament must provide for the equitable allocation of capital grants between provincial and metropolitan councils and local authorities; and any other allocations to provinces and local authorities, and any conditions on which those allocations may be made.” For the avoidance of doubt, a manual is not an Act of Parliament as envisaged in the Constitution. So, a question arises: Why is Ncube reluctant to bring to Parliament a Bill to address the issue of Section 301? A short answer to the question is: Zanu PF is not genuine on devolution and has never been. It still wants the all-powerful central government to be the only player in national and developmental politics. This is not the first time Ncube has dribbled Parliament. In the Finance Act of 2018, Ncube pulled the same trick. He amended the Indigenisation and Economic Empowerment Act to abolish the National Indigenisation and Economic Empowerment Board that controlled the Indigenisation Fund. The Fund was transferred to the Finance ministry. Ncube is playing the prince in President Emmerson Mnangagwa’s Cabinet. He is untouchable and can even effect changes to Acts of Parliament that do not fall under his purview. In other words, he is a super-minister. The time is now to stop this nonsense. Either the Zanu PF regime enacts a law as required by the Constitution on devolution or they can resort to their default position and repeal the sections of the Constitution which deal with devolution. They cannot continue to pick and choose which laws to obey. The onus is now on all progressive MPs and civil society to demand the full implementation of the 2013 Constitution, particularly on devolution. Zanu PF cannot continue to decide which areas to develop at its whim and the expected political fortunes they can derive from the areas they develop. Local people should determine their development as the Constitution dictates. Someone has to put a stop to this. Probably, starting with the MPs squaring up to Ncube to explain this hogwash. Or someone has to take him to the court and have him compelled to bring the Devolution Bill to Parliament. Or better still Parliament refusing to pass a vote for devolution funds until a Bill is passed on the same. "
https://www.newsday.co.zw/opinion-analysis/article/200026741/do-more-to-end-stigmatising-of-mental-illness,"
                     Do more to end stigmatising of mental illness
                    ","EVERY year, Mental Health Awareness Month [May] has various mainstream media (news, social and entertainment) platitudinously state or promote the obvious: That society, collectively and as individuals, must open up its/our minds and encourage common dialogue towards far more fruitfully treating and preventing mental illness. Needless to say, everyone will agree, at least publicly, that stigmatising such illness and, by extension, its bearers should have ceased long ago. But then that is basically as far as it goes. Unlike with the loud and apparently quite effective voices lobbying the news, social and entertainment media against reinforcing stereotypes based on skin colour, sexuality, gender and even gender bending; there is no comparable influential protest voice against reinforcing stereotypes based on mental illness. I believe it is called the squeaky-wheel effect. When it comes to irresponsibly stereotyping and/or stigmatising people specifically living with schizophrenia, the 2008 box-office-hit movie The Dark Knight (as overall entertaining as it was) could be a textbook example. In one shameful scene, the glorified Batman character recklessly erroneously grumbles to the district attorney character Harvey Dent that the sinisterly-sneering clearly-conscience-lacking murderer he has handcuffed to a wheeled stretcher is “a paranoid schizophrenic — exactly the kind of mind that the Joker attracts”. I should add here, however, that I rather enjoyed and appreciated the relatively sympathetic theme on poverty and especially mental illness in the 2019 film Joker. Like The Dark Knight, the 2021 horror-flick old also stigmatises schizophrenia via a creepy character’s violent behaviour. We had entered the third millennium, yet a 4/4-star-rated Hollywood hit movie as well as a much more recent film, could still be readily found flagrantly demonising characters based on their mental illness. There was no societal or vocal condemnation. It seemed to not matter that people living with schizophrenia are generally more likely to harm themselves and/or be a victim of violence than they are to harm others. - Frank Sterle Jr "
https://www.newsday.co.zw/opinion-analysis/article/200026744/devotion-the-heart-of-prayer,"
                     Devotion: The heart of prayer
                    ","THE Father is not trying to make you cry ceaselessly, but He wants your heart. There is a simple Biblical interpretation system you can apply that you do not necessarily have to know Hebrew and Greek to understand what the Bible is saying. Praying without ceasing cannot mean when you start praying and break for eating or meeting or whatever you do on this earth, when you pray later you are restarting and need to remind God that you have come back. You were together in the meeting or the dining table. He never ever leaves you even if you feel you are alone. We need to think. Let us look at the Scripture. 1 Thessalonians 5:17 reads: “Pray without ceasing.” The verse is not saying when you start praying, don’t stop until the return of Christ. The Father is looking for those devoted to prayer. He wants us to be loyal. It is not so much of how long, but how sincere. You can pray the whole day or for 30 minutes. What matters at the end is how intimate were you. Let me help those who fast and pray for say 40 or 21 days. On the last day they fail to break the fast at sunset and eat around lunch. Some think they missed it and then brush aside the “incomplete” prayer and fasting. They feel unworthy, inadequate and condemned. But if you were sincere, God the Father heard you. It is the devil who wants to accuse you that you did not run the full length. Begin to thank God and praise Him for answered prayer. After all fasting is for our discipline, not for God to move or intervene, He is there with you whether fasting or not. A believer cannot ask the Father to intervene. From where? The Godhead, i.e. God the Father, the Son and the Holy Spirit are in you. Let us look at Luke 18:1: “And he spake a parable unto them to this end, that men ought always to pray, and not to faint.” The simplest explanation here is that don’t give up on prayer. Don’t faint, pick yourself up. Maybe you pray and fast for so long and you don’t get the desired result, please don’t curve in, give up or surrender. Please remember that God always gives us what we need. We don’t faint, but keep praying. Our prayers are from the heart not that we saw someone with the latest car and we change prayer points. That is carnality. In case you missed some of our teachings, New Testament prayers are basically praise and thanksgiving for what the Father has already given us in Christ. If you fix your eyes on Jesus, you will be victorious and more than conquerors. You may know fellow believers who get into cooperate prayer and spend the better part of the night and morning dealing with “principalities”. Why not spend the whole night and morning speaking to God in praise, worship and thanksgiving and He tells you that the “principality” has been dealt a blow and will never come near you. We shall reconcile why someone prays 10 minutes and all demons start crying and leave. Someone sits on a mountain from Friday and comes to church on Sunday and no one gets healing or “feel” the anointing. We have all along measured prayer quantitatively and not qualitatively. God the Father says don’t be like hypocrites who love to be seen, but rather have an intimate relationship with Him. Commit to prayer, be loyal and be devoted. When we deal with praying in the spirit, we shall see how some can pray from bedtime till morning. Let me quote one verse and I am out; Proverbs 4:23: “Keep thy heart with all diligence; for out of it are the issues of life.” Now unto Him that is able to keep you from falling, and to present you faultless before the presence of His glory with exceeding joy, To the only wise God our Saviour, be glory and majesty, dominion and power, both now and ever. Amen. Grace and peace be multiplied to you through knowledge. "
https://www.newsday.co.zw/opinion-analysis/article/200026740/the-whimsical-world-of-work-life-balance,"
                     The whimsical world of work-life balance
                    ","AH, work-life balance, that elusive unicorn we all chase in the modern-day savannah of our lives. It’s like trying to find a comfortable position on an economy flight—seemingly impossible, yet endlessly pursued. We are told to lean in, but not too far lest we fall over. We are encouraged to hustle, yet reminded to stop and smell the roses—which, by the way, are now available in a convenient aerosol can for those too busy to find an actual garden. Let’s ponder the term “work-life balance” for a moment. It implies a scale, perfectly poised with work on one side and life on the other. But who can maintain such a precarious position? One unexpected email, and suddenly you are doing acrobatics to keep from toppling over. It’s less of a balance and more of a juggling act, where the balls are made of responsibilities, hobbies, and the occasional Netflix binge. Consider the modern office, a place where “open plan” has come to mean “no escape”. Your boss can now see you from across the room, making those covert social media checks all the more thrilling. And let’s not forget the symphony of typing, phone calls and the guy who eats celery like it’s his job. It’s a wonder we get anything done amid the cacophony of productivity. But then there is life—the part of the equation that is supposed to be all about relaxation and joy. Except, life has its own set of demands. Gym memberships that mock us with their unused potential, social events that require the energy we left at the office, and hobbies that have started to feel suspiciously like second jobs. We are in a constant state of toggling between tasks, trying to squeeze in a semblance of leisure between the cracks of our calendars. And yet, despite the chaos, there is something beautiful about the hustle. It’s in the small victories, like leaving work on time or turning off your phone for an hour of peace. It’s in the moments of connection, when we actually look up from our screens and engage with the world around us. It is in the realisation that balance is not about perfection; it’s about finding harmony in the discord. So, as we navigate the tightrope of our daily routines, let’s embrace the imbalance. Let’s celebrate the small wins and laugh at the absurdity of it all. Because at the end of the day, work-life balance is not a destination; it’s a journey—one that is best travelled with a sense of humour and the occasional detour into the ridiculous. And who knows? Maybe along the way, we will find that the unicorn is not so mythical after all. - Kumbirai Thierry Nhamo "
https://www.newsday.co.zw/opinion-analysis/article/200026739/youths-should-be-on-the-forefront-of-climate-change,"
                     Youths should be on the forefront of climate change
                    ","THIS article was written out of the pain we went through as young people in rural Binga. I still remember we would travel 10 kilometres to fetch water from a river, in a village called Tinde. This happened at the expense of other things such as our education. When it rained ferociously we were at times not able to cross the river from school. We would wait until the water subsided and travelled home at night. This did not look problematic then. It was a normal life. The worst part was to discover late in life that all those things were slowly impacting other things such as our education and the quality of life in general. In the end it affected our results. Our life was affected by climate. We cannot avoid climate, it has cataclysmic impacts on our lives. In the face of a rapidly changing climate, the world stands at a pivotal juncture and leaders must take a firm stand. The decisions we make today will shape the planet for generations to come and our legislative house should have young people who are ready to lobby and advocate for laws on climate change. Among the most powerful agents of change in this global endeavour are the youths. We cannot stand and wait for other people to do it for us. Youths are not just the leaders of tomorrow, but also the catalysts of impactful change today. Understanding climate change It is up to the youths to investigate what climate change is so as to make relevant decisions. Generally, climate change refers to momentous changes in global temperatures and weather patterns over a period of time. While climate has changed throughout the Earth’s history, human activities have been driving unprecedented changes over the last century. These include the burning of fossil fuels, deforestation and industrial processes, leading to increased greenhouse gas emissions such as carbon dioxide into the earth’s atmosphere. Role of youths Young leaders possess the numbers, energy and creativity necessary for a sustainable future. First, education is important. Knowledge is power. By becoming well-informed about the science of climate change and its consequences, leaders can spread awareness and inspire action within their communities. Learning is important when change is happening. We cannot oppose the change that climate has brought. Opposing is just futile. So information on climate change is important. When we have the requisite education it becomes easy to innovate. Youths can use the leverage of technology to develop innovative solutions to reduce carbon footprints, such as applications that track energy consumption or platforms that facilitate the sharing of resources. However, in rural Binga we had no computers. To make matters worse we did not even know how a computer looked like. As we speak now, we have children who have never seen a computer, let alone touch it. Now we need to accelerate how rural children and leaders have access to these technologies. Young leaders have energy for activism: Young activists can mobilise the masses through campaigns, protests and social media, putting pressure on policymakers to enact environmentally friendly policies. Besides, we need Parliament to be flooded by young leaders who will speak and debate about climate change. We need to learn sustainable practices. Now there is talk of not only smart cities, but green cities. We must adopt sustainable lifestyles, such as reducing waste, conserving water and choosing renewable energy sources to significantly lower greenhouse gas emissions. Politics shapes a lot of things. Without political will, we cannot win. In our next elections, the electorate must make sure we vote for people who are committed to climate change. By voting for leaders committed to fighting climate change and even running for office, young people can influence political agendas and steer legislative action towards sustainable development.. Parting point The battle against climate change is daunting, but it is not insurmountable. With youths at the helm, there is hope for a greener, cleaner and more sustainable future. Their actions today will echo through the ages, and it is imperative that they are equipped, encouraged and empowered to lead the way in this existential fight. This is a call to action for young individuals and leaders in Zimbabwe and the world in general to rise up and take ownership of the climate crisis. Their passion, combined with concerted efforts, can turn the tide against climate change and pave the way for a healthier planet. "
https://www.newsday.co.zw/opinion-analysis/article/200026731/pvo-bill-poisoned-chalice,"
                     PVO Bill poisoned chalice.
                    ","The upcoming Public Hearings for the PVO Bill next week show that the government is determined to shut down civic space.  There is concern that if 10,000 organizations were to express interest in registering to support persons with disabilities, they may be restricted based solely on the fact that they have the same mandate.  This limitation goes against the fundamental principles of freedom of association and expression, which are essential for a thriving civil society. The PVO Bill aims to amend the Private Voluntary Organizations Act, which was first enacted in 1990 to regulate and monitor the operations of non-governmental organizations (NGOs) in Zimbabwe.  However, many civil society organizations (CSOs) have raised concerns about the proposed amendments, stating that they will severely restrict their ability to operate and fulfill their mandates. One of the main issues with the PVO Bill is the provision that limits the number of organizations that can register to support a particular cause.  This not only goes against the principles of inclusivity and diversity, but it also undermines the potential impact of collective action. If thousands of organizations are willing to work together towards a common goal, they should not be restricted based on their numbers. Furthermore, the Bill also dictates the structure and composition of PVOs, which should be determined by the organizations themselves. While some CSOs have a membership-based structure, others have a combination of trustees and members, and some operate solely through trustees.  These are all acceptable forms, as long as there are proper checks and balances in place to ensure good governance and accountability. By imposing a specific structure, the government is overstepping its boundaries and impeding on the autonomy of CSOs. However, the most alarming aspect of the PVO Bill is the provision that allows for the politicization of aid and funding for political parties. This not only goes against the role of CSOs as independent entities, but it also raises concerns about the potential misuse of funds and the alignment of aid with political agendas.  Many CSOs have voiced their opposition to this provision, stating that it could compromise their credibility and hinder their ability to effectively serve the communities they are meant to support. In addition to these concerns, there are also provisions in the Bill that could lead to the prosecution of individuals within PVOs for misnomers of their organizations.  This creates a culture of fear and could be used as a tool to target individuals who are working towards social and political change. It is important to note that organizations are legal persons and should be held accountable as such, rather than targeting individuals who may be acting on behalf of the organization. CSOs have consolidated their concerns and recommendations in their submissions to parliament, but it is worrying that the Bill is being fast-tracked without proper consideration for these concerns.  The media reports that the Bill will be passed as is, despite the numerous objections and recommendations from CSOs and other stakeholders. President Mnangagwa had initially intervened in the drafting of the PVO Bill, providing an opportunity for the government to reconsider some of the provisions. However, his concerns were not addressed, and the Bill remains unchanged.  This goes against the government's commitment to creating an enabling environment for civil society to thrive and fulfill their roles in society. If passed, the PVO Bill will not only restrict the operations of CSOs, but it will also have a chilling effect on civic space in Zimbabwe. It will limit the ability of organizations to advocate for the rights and needs of their constituents, and ultimately hinder the development and progress of the country. It is imperative that individuals and organizations come out in large numbers to the Public Hearings for the PVO Bill and voice their opposition to the proposed amendments.  This is a crucial opportunity for citizens to exercise their right to participate in the legislative process and make their voices heard. The more people who show up and speak out against the Bill, the stronger the message will be to the government that the proposed amendments are not acceptable. Additionally, it is important for citizens to understand the potential impact of the PVO Bill and how it could restrict the operations of civil society organizations and limit their ability to serve the communities they work in.  By attending the Public Hearings and rejecting the Bill, individuals will be standing up for the rights and needs of all Zimbabweans and promoting a more inclusive and democratic society. Let us come together and make our voices heard to protect the future of civic space in our country. "
https://www.newsday.co.zw/opinion-analysis/article/200026670/ed-must-innovate-to-create-a-new-economy,"
                     ED must innovate to create a new economy
                    ","THE economic chaos and structural deformities are a boon to the creation of an alternative industry and commerce. New business has germinated, creating millions of jobs. The chaos has created immense opportunities that are being exploited to the full. Better than formal jobs in many instances. In this suffering some want the status quo to remain and they are in their millions. Attempting to formalise the economy and correct deformities will cause massive bleeding of these underground and alternative jobs. It requires strategic innovation to create more and better jobs in a formal economy. This is the challenge the government faces and seems blind on how to navigate it. The government is driven to formalise. Unfortunately, what in the so-called formal economy, job creation is a mirage and is not a desired strategic outcome for companies. Companies actually desire to destroy jobs rather than creating them. Automation, modernisation, artificial intelligence, robotics and other technologies are all driven at industry with hope of substituting the unionised labour force. It creates few other jobs, but in Zimbabwe we have a more serious and significant challenge. Our challenge is that our emphasis on science, technology, engineering and mathematics higher education is very pale after its local architect, former minister Jonathan Moyo was discarded into the political dustbin, literally throwing away the bath water together with the baby. We have hordes of universities with more than 60% studying social sciences, arts and commercials. This will never create a new economy, the one that can deliver new jobs. President Emmerson Mnangagwa has to think smart on how to create a new economy to absorb the informal industries created by government’s absolute and disastrous failures. Millions are now employed in the parallel economy. Examples I give below are “industries” that will go extinct in a formal and working economy. The examples above are critical because the government has multiple challenges to innovate around job creation, diversifying the economy, reskilling, attracting new talent, diaspora migration, skills partnerships and re-education. The task this present government face is one that requires strategic innovation beyond extractive and primary industries of mining and agriculture. At present the government does not show passion at investing in that arena and have skills to drive a new country trajectory. It has to start with the mind. Yet here we are as a country still innovating around the familiar of agriculture and mining. The dilemma is keeping the current trajectory of an informal economy which is underground, whose income is undeclared and businesses are unregistered. We will continue to witness house construction, cars sales, private schools, bars, foreign trips and luxury purchases with no real income being realised by, for instance, the Zimbabwe Revenue Authority, National Social Security Authority, Zimbabwe Development Fund and municipalities. Public goods will be demanded from persons without a taxpayer number. The cities and towns will be burdened with residents who want the best but paying nothing for it. It does not seem we have the mind to innovate outside the familiar to destroy the prevailing economic chaos. We do not seem to have the skills, structures, systems and strategy to do so at Cabinet level. The alternative is equally problematic in that a formal economy which does not create jobs will pose existential threats to the ruling party. It can cause chaos. Idle minds will create a headache to the ruling class. Our government, Cabinet and ministries are still the same as in 1965 and for them to leapfrog in innovation to create formal jobs requires a new mindset. Most ministries are no longer fit for purpose. Then the question is who exactly in government is responsible for creating the new economy? Who co-ordinates several value creating ministries to ensure they get out of incremental innovation mode to disruptive and radical innovation? If, as a country, we have no clear answer and we are not creating jobs as a government, then we have failed. If we don’t have an environment to enable private enterprise to create jobs, then we have absolutely failed. If we destroy the old jobs without creating new jobs, then we are creating fertile ground for discontent to manifest. The big question is what is the government going to do with millions who are now self-employed due to government ineptitude? And, how will these people react if and when their “jobs” are taken away? The President must innovate outside the familiar to create a new formal economy with new jobs.   "
https://www.newsday.co.zw/opinion-analysis/article/200026662/africas-role-in-delivering-a-new-health-win,"
                     Africa’s role in delivering a new health win
                    ","DISEASES like smallpox used to be inevitable. However, thanks to the life-saving power of vaccines and global collaboration, decades have passed since the last case. Health workers, community members and global leaders came together to permanently eradicate smallpox. Shortly after this historic feat, the world turned its attention to eradicating polio, another debilitating, preventable disease that attacks the nervous system and can cause lifelong paralysis or even death. Thanks to vaccines, health workers’ dedication and decades of global collaboration, wild polio cases have fallen by 99,9%, and 20 million people are walking today who would have otherwise been paralysed by the virus. Immunisation is one of our most successful and cost-effective public health interventions. This year marks the 50th anniversary of the Expanded Programme on Immunisation, the routine vaccine schedule developed by the World Health Organisation in 1974, which is responsible for protecting many from the most common childhood viruses, including polio. New data released in The Lancet reveals that global immunisation efforts have saved an estimated 154 million lives over the past 50 years and have contributed to reducing infant deaths by more than 50% across Africa. However, making history is never easy. Despite decades of dedication and leadership from African Health ministers and other government leaders, challenges in reaching all children with polio vaccines remain. COVID-19-related disruptions to vaccine delivery fuelled the largest backslide in immunisation in three decades as health systems were overwhelmed and resources were diverted, leaving the most vulnerable without protection. The consequences of this backslide were severe. In 2022, Malawi, followed by Mozambique, reported the first cases of wild poliovirus in Africa in over five years, imported from abroad. Due to the drops in immunisation coverage, 15 countries — including Zimbabwe — in the region have been fighting to stop ongoing variant polio outbreaks since 2021. Strong routine immunisation coverage is critical to stopping polio. In eastern and southern Africa, 4,6 million children missed out on routine immunisation during the pandemic. For example, more than 977 000 children in Madagascar and 1,3 million children in Somalia did not receive a single vaccine dose between 2020 and 2022. Eradicating polio requires at least 95% vaccine coverage to stop the virus circulation and strong routine immunisation to prevent new infections. Despite efforts to boost immunisation rates, the same children continue to be missed. These “zero-dose” children, who have never been reached with any vaccines, often live in the hardest-to-reach areas, leaving them at risk of illness or even death from preventable diseases such as measles and polio. We have just returned from Madagascar, where there are more than one million “zero-dose” children between two and five years old. Data from the Public Health ministry shows that in 22 out of 23 regions of the country, less than 50% of children received their first dose of the polio vaccine at birth. We were heartened to hear from leaders and healthcare workers about how they are working to protect more children from infectious diseases. Under the guidance of the government, we can support their efforts to prioritise routine immunisation within the country’s primary healthcare system and urgently scale up efforts to close these extremely worrying immunity gaps. Much work remains to strengthen health systems in Madagascar and across the region so that we can protect every child against vaccine-preventable diseases. The needs are complex and daunting — but key to overcoming each and every challenge needs one single necessity: Political will. We are regularly reminded that “vaccines don’t save lives; vaccination saves lives”. For vaccination to happen, it is vital that leaders across the continent stay committed to investing in their health systems and vaccines, and publicly demonstrate their support for polio vaccination and wider immunisation. Continued engagement with community health workers and community leaders is also critical to achieving high rates of immunisation, even among the most vulnerable children. In October 2023, Zimbabwean health authorities declared officially the circulating vaccine derived poliovirus type 2 (cVDPV2) outbreak a public health emergency following detection of the disease in environmental samples collected in Harare. The Health and Child Care ministry is co-ordinating the implementation of polio outbreak response activities including a nationwide polio vaccination campaign. The country has conducted two rounds of nationwide polio vaccination campaigns in February and March 2024, reaching more than 4,8 million children. Zimbabwe, like many other countries, remains at risk of polio outbreaks until the disease is completely eradicated from the world. It is, therefore, important that the population immunity against polio is maintained high. Efforts to increase routine polio vaccination coverage and strengthened disease surveillance for early detection of cases remain top priority. The world has a historic opportunity to end polio for good, but if we do not remain committed, the virus could quickly make a comeback and paralyse thousands of children again every year. Eradication may feel close within reach, but we — governments, partners, donors — must fully and urgently step up and support to cross the finish line. We did it for smallpox, and we can do it again — it is humanly possible.  Etleva Kadilli, Unicef regional director, eastern and southern Africa and Christopher J Elias, is president of global development at Bill & Melinda Gates Foundation.    "
https://www.newsday.co.zw/opinion-analysis/article/200026635/10-things-that-will-transform-zim,"
                     10 things that will transform Zim
                    ","ZIMBABWE’S misfortunes are a burden to many who love this beautiful country. Our country cries out for a collective purposeful focus to lift it out of this man-made quagmire. We must look past the preoccupation with sectional party-political interests. Our future lies beyond what politicians can do for us. We must be laser focused on what we each can do to first change ourselves and then change our spheres of influence. While there is so much dysfunction in our country, most of our guests on YouTube.com//InConversationWithTrevor remind us that it is our honest endeavours that change our society. It is the things we work passionately on for the benefit of others that cause positive ripples and profit us. Each of us have power to change this country by searching for our why and pursuing it passionately. Harriet Tubman emphasised the importance of understanding our past in shaping the future, stating: “We are not informed by where we are; we are informed by where we have been.” Where Zimbabwe has been says that while politics destroyed this country, with our participation by commission or omission, it is leadership and enterprise at an individual level that will build something greater on these ruins. The emergence of our better angels will eventually shape the political landscape and not vice versa. No magic wand, no quick fix, let alone an individual will transform Zimbabwe. Nation building is heavy lifting, multifaceted, time consuming and needs all hands on deck. To aid our individual endeavours are 10 overarching factors with tremendous potential to transform Zimbabwe, namely: The direct link between rule of law and development is well-studied and has long been established. Our problems are far bigger than Zanu PF and the opposition or the real and perceived differences between President Emmerson Mnangangwa and Nelson Chamisa. A solution to our dysfunction will emerge when there is scale in the number of people who bet for the country rather than self or sectional interests. Noble causes take time to become mainstream, but when they do they create a groundswell which hatches its own leaders. "
https://www.newsday.co.zw/opinion-analysis/article/200026637/lets-build-a-strong-ai-adoption-framework,"
                     Let’s build a strong AI adoption framework
                    ","RESEARCHERS argue that people's perceptions of reality shape their adoption of technology. The excitement and confusion surrounding artificial intelligence (AI) highlight the importance of underlying assumptions, meanings and expectations about the adoption of this important technology. These interpretations significantly impact AI adoption, making a clear framework crucial for any organisation or country navigating this process. Do you think Zimbabwe is adopting AI well? The answer hinges on whether you know the framework that the country is using to guide its AI journey. What is a framework? In the context of technology adoption, a framework is a structured approach that guides the introduction of a new technology. It acts as a plan, outlining the essential steps, considerations and best practices to ensure successful integration. Think about building a house. You would not just randomly put up walls and a roof. A blueprint, which acts as a framework, describes the different stages of construction, the materials needed and the order in which things should be built. Similarly, a technology adoption framework provides a roadmap for the effective use of the new technology. AI is a hot topic, and many countries are scrambling to adopt it and Zimbabwe has also made some inroads. As a country we have shifted from questioning “should we adopt AI?” to “are we adopting AI the right way?” This series delves into this crucial question and as a Member of Parliamentary Portfolio Committee on ICT, I have observed numerous efforts by both the public and private sectors to create and adopt AI solutions. The troubling aspect is that these efforts lack a guiding framework or a dedicated AI plan. As explained earlier, the absence of a framework hinders strategic AI adoption. This has hampered many African countries in the past when adopting technologies. We often rely on foreign frameworks, leading to limited benefits from these technologies. China's New Generation Artificial Intelligence Development Plan (AIDP), announced in 2017, serves as a powerful case study for the importance of a national AI plan.  This ambitious plan outlined China's goal to become the global leader in AI by 2030, create a trillion-yuan AI industry, and shape ethical norms for AI development. The AIDP provided a long-term vision, fostering domestic AI research, talent development and public-private collaboration. Looking back, it is undeniable that this strategic approach has positioned China as a leading force in AI. Global race for AI supremacy AI has emerged as a new battleground for international competition, with nations recognising its potential to drive economic prosperity and national security. Developed countries are prioritising AI development to boost competitiveness, accelerate their economic growth and national security. Many developing countries have also joined the race and are intensifying their implementation plans and strategies for this core technology. Key areas of focus for developing countries include infrastructural development, research and development, talent development and establishing regulatory frameworks. Zimbabwe's call to action Looking at the global landscape, it is clear that Zimbabwe needs to elevate AI development to a national strategic level. To compete and thrive in the future, a comprehensive framework for AI adoption is critical. Pillars of a successful AI framework As mentioned earlier, a successful AI adoption framework should possess the following characteristics: Provide structure: Break down the AI adoption process into smaller, manageable steps, making it less daunting and more achievable. Identify key considerations: Focus on crucial considerations throughout the process, such as infrastructure requirements, human resource needs and potential risks. Integrate best practices: Incorporate existing global best practices and lessons learned from previous technology implementations. Adaptable: Be flexible enough to be tailored to Zimbabwe's specific needs and context. Charting the course This series will delve into a comprehensive framework for advancing AI in Zimbabwe. We wll define key steps across various domains to ensure the effective integration and responsible deployment of AI technologies. Our goal is to equip key stakeholders with valuable insights into Zimbabwe's AI readiness and potential hurdles. This will lay the foundation for informed decision-making and strategic planning concerning AI development in Zimbabwe. "
