Link,Title,Content
https://www.chronicle.co.zw/spreading-smiles-ntando-van-moyos-birthday-charity-drive-to-become-annual-fixture/,Spreading smiles: Ntando van Moyo’s birthday charity drive to become annual fixture,"Mbulelo Mpofu,[email protected] UMAHLEKISA Entertainment’s director, Ntando van Moyo, renowned for spreading joy and laughter, demonstrated the power of kindness on his recent birthday. Instead of a typical celebration, Moyo organised a charitable event, “Ntando van Moyo’s Birthday Thingy,” this past Saturday, aiming to uplift the less fortunate. Hosted at KoSamuriwo Pub and Grill in Luveve, the event witnessed a remarkable display of generosity, with attendees donating sanitary ware and clothing items for distribution in Cowdray Park and surrounding areas. Expressing gratitude for the overwhelming response, Moyo stated, “The outpouring of support for this cause has been truly heart-warming. Witnessing people come together for such a noble cause has been immensely inspiring.” Part of the donation made on Saturday at Ntando van Moyo’s birthday bash Encouraged by the event’s success, Moyo revealed plans to establish it as an annual tradition.
“As a member of the showbiz community, I believe in giving back. Making this charity drive an annual event is my commitment to making a positive impact,” he affirmed.
Moyo’s initiative aligns with the philanthropic efforts of other celebrities who commemorate their birthdays by giving back to society through donations of cash, food, and clothing. His selfless gesture serves as a poignant reminder of the profound impact of kindness and generosity. – @MbuleloMpofu "
https://www.chronicle.co.zw/producer-macee-shines-spotlight-on-matabeleland-norths-traditions/,Producer Macee shines spotlight on Matabeleland North’s traditions,"Mthabisi Tshuma,[email protected] Hailing from Binga and currently residing in Hwange, Matabeleland North province, ambitious filmmaker Mainza Mudenda, known by the moniker Producer Macee, is dedicated to promoting the diverse cultures of the province through film. At 25 years old, Producer Macee is honing her videography skills while studying Film, Television, and Media Studies at Lupane State University. In an interview with Chronicle Showbiz, Producer Macee expressed her aspiration to highlight the way of life of Zimbabweans in Matabeleland North province to the world.  “I focus on creating short films, videos, and photographs. My inspiration came from watching short films, and I envisioned creating documentaries on various cultures in Mat North, such as Tonga, baNambia, and the San in Tsholotsho, among others,” she explained. Producer Macee has been actively involved in projects promoting marginalised creatives in Matabeleland North, including the Shangano 17th edition festival and the Hivos project “Rebuilding Spaces and Expressions on Marginalised Creatives in Matabeleland North.” She is also passionate about promoting female creatives and is working on recording a theatre play titled “Golebi” meaning “a bad year” in English, set in a rural backdrop. Additionally, she is documenting the stories of rural female storytellers who have not had opportunities to showcase their talents in Matabeleland North. “My dream is to create more documentaries on the different cultures across the seven districts of Matabeleland North.” – @mthabisi_mthire "
https://www.chronicle.co.zw/africa-fashion-exchange-2024-preps-underway/,Africa Fashion Exchange 2024 preps underway,"Mthabisi Tshuma,[email protected] Preparations are underway for the fifth edition of the Africa Fashion Exchange 2024, set to take place in Bulawayo on May 31 at True Elegance Restaurant (located along Joshua Mqabuko Nkomo St, between 1st and 2nd Ave). The event promises to showcase some of the most innovative fashion designs from designers and boutiques nationwide. This year’s theme, “African Fashion Meets the Future”, underscores the event’s aim to create pathways and opportunities for creatives in Zimbabwe to showcase their talents and products, benefiting both individuals and the fashion industry as a whole. Organised by Face of Zimbabwe Inc, a media company founded in 2018 by Eddlight Yellow Moyo, Saneliso Nelly Sibanda, and Mthokozisi Mzee ka Sigola, the Africa Fashion Exchange has been an annual fixture in Harare and Bulawayo for the past four years. According to Nelly, one of the organisers, “There is no doubt that creativity is the most important human resource of all. Without creativity, there would be no progress, and we would be forever repeating the same patterns. The fashion exchange is going to incorporate various activities beneficial to individuals in the design and fashion industry, as well as marketing and advertising sectors.” She added, “The themes encompass different facets of the fashion industry and go beyond a mere runway show. They also intersect with other industries such as film and technology.” Nelly highlighted that the Fashion Exchange aims to promote local up-and-coming models by providing them with skills development, brand enhancement, artistic intuition, marketing opportunities, and exposure. – @mthabisi_mthire "
https://www.chronicle.co.zw/bulawayo-breaks-a-sweat-king-of-squats-leads-fitness-revolution/,Bulawayo breaks a sweat…King of Squats leads fitness revolution,"Showbiz Writer South Africa fitness icon Nkululeko Zane Dlamini, famously known as the King of Squats, stole the spotlight at the Supermed Health Expo held in Bulawayo on Saturday, captivating people with his energetic workouts. The annual health lifestyle event, in its third edition, drew crowds to the Zimbabwe International Exhibition Centre grounds for a day filled with fitness activities and health education. With a focus on mental health awareness, the event aimed to promote healthy lifestyles and encourage regular exercise. From workout sessions led by the King of Squats to informative booths manned by medical professionals, and engaging activities tailored for children, the expo catered to all age groups and health needs. As the main attraction, the King of Squats led attendees in exercise routines during both morning and midday sessions, igniting excitement among the crowd. Upon his arrival at the venue, attendees’ faces lit up with excitement, mirroring his own visible enthusiasm. King of Squats with Supermed MD Lorraine Hadebe Taking the stage, the King of Squats dazzled the audience with his dance moves and fitness routines, some of which were strenuous, encouraging everyone to join in despite the sweltering heat. The crowd eagerly followed his lead, embracing the opportunity to participate in the activities. Thereafter, participants took photos with him and he graciously obliged, showcasing a rare humility often absent in celebrities. The King of Squats expressed his excitement for being in Bulawayo. “I’m thrilled to be in Bulawayo. Although I’ve visited Harare previously, this is my first time experiencing the vibrant energy of Bulawayo. The people here are fantastic and engaging them in various fitness exercises has been incredibly enjoyable. I came fully prepared for the challenge, and it’s been an absolute pleasure,” he said. He highlighted the importance of fitness in combating various health and mental ailments. “These sessions serve as more than just physical exercise; they provide a means for individuals to combat stress, drug and substance abuse, depression, obesity and other health and mental ailments. Witnessing the transformative impact on my clients is incredibly rewarding.”  The King of Squats went on to highlight his dedication to his clients and shared his vision of owning his own gym space in the future. “As a fitness trainer, I get my income from guiding individuals through workout sessions. Looking ahead, I aspire to establish my own gym space, where I can further support and serve my clients,” he said. Event organiser Duncan Hadebe expressed gratitude to the community and sponsors for their support, praising the King of Squats for making the event memorable. “I extend my heartfelt gratitude to the people of Bulawayo for their unwavering support as well as to our sponsors whose generosity makes this event possible. Secondly, I want to express my sincere appreciation to our esteemed guest, the King of Squats. We are truly grateful for his presence in our midst and for contributing to our vision of a community filled with healthy individuals,” said Hadebe. He also commended the doctors who provided free consultations and the Supermed team for offering diabetes and blood pressure tests.    "
https://www.chronicle.co.zw/picasso-leon-sizibas-journey-in-portrait-artistry/,Picasso Leon Siziba’s journey in portrait artistry,"Sipepisiwe Moyo, [email protected] Picasso Leon Siziba, a renowned visual artist known for his captivating portraits of South African musicians who visit Bulawayo for shows, has reflected on his artistic odyssey defined by both obstacles and dreams. He started exploring art at the age of nine, inspired by his namesake, Pablo Picasso. “I was named after Pablo Picasso, a Spanish painter, sculptor, printmaker, ceramicist and theatre designer who was recognised as one of the most influential artists in the 20th century. I grew up in a family of artists and started drawing when I was nine years old. “During the Covid-19 lockdown, I started mastering my skills, specifically in portrait art. As I practiced, I got inspired by a South African artist called Young Creator,” he said. As his career progressed, Siziba found success, attracting clients and earning recognition for his work. He has since expanded his artistic horizons by venturing into the realms of Amapiano music and fashion using the medium of portrait art. Picasso Leon with Murumba Pitch Siziba has made a name for himself by sketching Amapiano musicians and presenting these portraits as gifts when they visit Zimbabwe. His work first caught the attention of industry figures like Bassie (Basetsana Kumalo) and Ambitious Entertainment. “The first artist I presented a portrait to was Young Stunna, who really appreciated it. This has motivated me to continue creating and hopefully make a living from my art,” he said. Siziba’s recent works include portraits of Amapiano duo Murumba Pitch and South African hip-hop stars Emtee and Kwesta. “My latest portrait project featured Murumba Pitch alongside South African hip-hop icons Emtee and Kwesta, who performed in Bulawayo on April 27 this year. It took me over two months to complete the portraits. “Among the notable figures I’ve depicted and presented portraits to are Musa Keys, Amaroto, Nkosazana Daughter, the late Costa Titch, Ami Faku, Tyler ICU, Sir Trill, Stokie as well as Zimbabwean artistes like Holyten and DJ Liz. Additionally, I have pending portraits for Cassper Nyovest, Felo le Tee, Mawhoo, DJ Maphorisa, Kabza de Small, Lady Du and many more,” he said. Picasso Leon and Kwesta Despite his success, Siziba faces significant hurdles. “Procuring materials and equipment is tough as they are scarce in our country,” he said. Siziba said some event promoters and organisers either sabotaged him or exploited him. “It’s difficult getting opportunities to showcase my works at events. There’s sabotage by the promoters and organisers leading to me being scammed or used by clients or event organisers. “Also, as fine artists, we’re taken for granted in places like Bulawayo. Art is not seen as something important or valued. I have been struggling to secure an art studio because even venues like the Bulawayo National Art Gallery have been unable to accommodate me,” said Siziba. He however, said his goal this year is to innovate his portrait style aiming to create storytelling portraits featuring prominent figures from around the world. Siziba said he will continue to present his artworks to celebrities as a marketing strategy to enhance his reputation.    "
https://www.chronicle.co.zw/a-widows-recipe-for-resilience/,A widow’s recipe for resilience,"Mbulelo Mpofu recently in Ntabazinduna Two years ago, Nomsa Tshuma’s world was irrevocably altered when her husband, Elvis Nyathi, fell victim to a barbaric xenophobic attack in Johannesburg, South Africa. The harrowing incident left her isolated and burdened with the sole responsibility of raising their four young children, as well as an immense emptiness in her heart. On April 6, 2022, in Diepsloot, Johannesburg, Nyathi was subjected to a violent assault by a group of protestors. The mob, driven by accusations against Zimbabwean nationals for local crimes, attacked and set Nyathi ablaze. Following this devastating event, his remains were laid to rest in Bulawayo in a State-assisted funeral. The shocking and untimely demise of Nyathi captured the nation’s attention, prompting widespread calls of support for his bereaved spouse. In those moments, it appeared that all hope was extinguished, as the wheels of justice turned agonising slow. Yet, in an unforeseen turn of events, Tshuma discovered a haven of solace and resilience at ACAJA Chillspot, a lively entertainment venue nestled in the Bhekeni Luthi area of Ntabazinduna. It is here that she has taken on the role of a cook.
During a visit by the Saturday Chronicle’s news team, Tshuma said ACAJA Chillspot has become a rejuvenating oasis in her life.  Her affiliation with the establishment has not only provided her with financial security, but has also imbued her with a renewed sense of purpose and community. “Ever since Abednico Dube (ACAJA Chillspot owner) offered me a job here, it hasn’t been smooth sailing, but a huge load of pressure has been relieved from my shoulders. The warm and supportive environment prevalent here has enabled me to heal and move forward, one delicious meal at a time. I am glad to be part of something special. “I was struggling to make ends meet and provide for my children after my husband’s brutal passing. I miss him, but being here helps me heal and try to forget everything. Since I started working at ACAJA Chillspot, I have been able to give my children a better life. They’re thriving, and that gives me the strength to keep going,” Tshuma said, her voice trembling with emotion. Tshuma’s culinary skills have become a source of solace, allowing her to express her emotions and channel her grief into something positive. The kitchen has become her sanctuary, where she finds peace and comfort in the simple act of cooking. “Cooking is my therapy. When I’m in the kitchen, I forget about my troubles and focus on creating something beautiful and nourishing for others. It’s a reminder that even in the darkest moments, there’s always hope for a brighter tomorrow,” Tshuma explained.  As she expertly prepared a sizzling dish for patrons, her face radiated a sense of pride and accomplishment. Although her husband may be gone, his memory lives on through the love and care she pours into every meal she prepares and the smiles she sees on patrons’ faces. “I am grateful for ACAJA Chillspot and the opportunity to work with such an amazing team which values my presence and contribution. Working closely with our site manager, Langelihle Nyathi, has been great because not only are we colleagues here, we are also close neighbours in the precinct. “ACAJA has given me a second chance at life, and I’m determined to make the most of it,” she said. — @MbuleloMpofu "
https://www.chronicle.co.zw/tapiwanashe-zimhamba-the-accountant-who-became-a-fitness-icon/,Tapiwanashe Zimhamba: The accountant who became a fitness icon,"Shingai Dhlamini, [email protected]  TAPIWANASHE ZIMHAMBA, a qualified accountant, has forged a career in fitness training, modelling and acting. Tapiwanashe (32) is the first of two sons. He attended Milton Junior and Milton High School. While not particularly drawn to sports in his school days, Tapiwanashe went on to earn qualifications in accounting and even delved into Sports Science at both Nust and Unisa. Tapiwanashe landed his first accounting job at Edgars where he spent five years. Despite the lucrative nature of accounting, Tapiwanashe found himself increasingly drawn to fitness and began dedicating a significant portion of his free time to working out at the gym. He went on to participate in Mr Novice Zimbabwe in 2018 and gained a commendable runner-up finish. Later that year, he won Mr Africa Zimbabwe and was crowned the prestigious Fitness Icon of the Year in Nigeria. This victory motivated Tapiwanashe to take up the sport seriously, and he started competing in more competitions, winning more titles and enjoying it more. Tapiwanashe Zimhamba He has amassed a significant social media following, exceeding 85 000 fans and landed brand partnerships beyond Zimbabwe and collaborations with Verimark. In recognition of his achievements, Tapiwanashe was voted Zimbabwe’s Social Media Fitness Personality in 2023. “I used to participate in a lot of clubs at school like Debate and Interact, not sporting activities,” he said. “In those five years (at Edgars) I wasn’t satisfied so daily after work I would go hit the gym. Then one day I decided training other people was what I loved. I then started including other people in my training schedule and this kick started my fitness career.” The Mr Novice Zimbabwe competition in 2018 marked the start of Tapiwanashe’s competitive journey. “This competition gave me confidence and I could face my fears so I ended up doing fitness modelling which was a boost to my fitness career and that put me on the map,” he shared.  Tapiwanashe’s success continued in 2018. After winning Mr Africa Zimbabwe, he represented the nation at a competition in Nigeria. He founded Next Level (NXTLVL), a comprehensive fitness brand, which offers a range of sportswear, supplements, personalised nutritional advice and fitness training programmes. “NXTLVL is a sports brand that is going to take over Africa in the next two years. Like Nike and Adidas, it is going to be the biggest fitness sports brand spreading hope and motivation to the hopeless African child. “As NXTLVL, we also do charity work every Saturday at George Silundika and 9th Avenue called ‘Feed for Free Zimbabwe’ where we provide the homeless with a warm plate of food,” he said. His online presence has allowed him to connect with a wide audience and promote his various endeavours. In 2022, he ventured into acting, securing a role as a bodyguard to the character “Mrekza” on the popular South African soap opera, Generations the Legacy. The experience showcased his talents beyond fitness and modelling. Beyond his professional pursuits, Tapiwanashe enjoys cycling as a recreational activity that also maintains his fitness. “Cycling is a fantastic sport and recreational activity that offers numerous benefits, whether you’re a professional cyclist or just enjoying leisurely rides,” he says. He also continues his modelling career with Edgars. Demonstrating his commitment to inspiring others, Tapiwanashe co-hosts a weekly fitness show on Bulawayo’s Skyz Metro radio station alongside Taboka Nleya. Furthermore, his influence extended to being recognised among the top 50 influential Zimbabweans in South Africa.   "
https://www.chronicle.co.zw/lasting-love-not-lunch-what-mothers-really-crave-this-mothers-day/,"Lasting love, not lunch… What mothers really crave this Mother’s Day","Flora Fadzai Sibanda, [email protected]  IT’S that time of year again! Mothers around the world are celebrated for their tireless love and dedication. But the question remains — what’s the ideal Mother’s Day gift? A generic cake or the now-routine brunch reservation feels impersonal. It’s time to ditch the uninspired routine and truly spoil your mama. The Saturday Chronicle hit the streets of Bulawayo to ask mothers themselves what they crave most this year. Sithokozile Dube from Magwegwe suburb shared a heartfelt sentiment. Her greatest gift would be lasting love from her children, not just on Mother’s Day. It saddens her that some children use this day as a performative display of affection, neglecting their mothers throughout the year. “Once children are able to do that, it’s easy to get the perfect gift for your mother because you will know what it is that she wants and expects. “Most of our children just send us to these expensive lunches that we do not even like because it will be crowded and that’s not a great sight for most of us,” said Dube. Buhle Gumbo stressed the importance of thoughtful gifts. She suggested presents that are both useful and hold sentimental value — things a mother can see and use every day. Here are some ideas to inspire you, even after Mother’s Day has passed: Upgrade your mother’s space Has your mother been eyeing a new appliance or piece of furniture? Surprise her with a delivery. Imagine her delight relaxing on a new sofa or admiring a mounted TV after a long month. Renew and revive Is the kitchen paint peeling? Revamp it overnight for a fresh look! Replace those worn floor tiles she has been complaining about. For bigger dreams, consider building her a new home that’s if you can afford to! Even smaller fixes like repairing a leaky faucet can make a big difference. The gift of family There’s nothing more precious than quality time with loved ones. Plan a gathering where your mother can be surrounded by her children and grandchildren. Embrace the laughter, the playful chaos, and the inevitable (but memorable) family discussions. A taste of adventure Break the cake routine! Does your mum have food she’s always wanted to try? Take her to a new restaurant or introduce her to a unique cuisine. Plan an exciting outing like zip-lining or a boat cruise — create new memories together! Remember, these are just starting points. The most important thing is to make your mother feel truly special and loved, whether it’s through a thoughtful gift, a helping hand around the house, or simply spending quality time together. "
https://www.chronicle.co.zw/a-rebel-with-a-cause-princess-nomalanga-siziba-redefines-success/,A rebel with a cause: Princess Nomalanga Siziba redefines success,"Mbulelo Mpofu, recently in Harare PRINCESS Nomalanga Siziba is a true maverick. An award-winning author, unconventional entrepreneur and mental health advocate, Siziba shatters the mould of success. Hailing from Bulawayo, her journey is interlaced with resilience, innovation and an unwavering commitment to positive impact. From a young age, she displayed an insatiable curiosity and a fierce drive to excel. “Growing up, I was always a curious child. I played almost every sport in junior school and even joined the birds club, where we learned about various avian species. I vividly remember a moment when, amid a room full of relatives, I confidently declared that I wanted to be a businesswoman when I grow up. The laughter that ensued made me realise that I was different, destined for a path less travelled,” she recounted to Chronicle Showbiz. Her literary foray began as a path to personal healing. Writing became a cathartic release, allowing her to process emotions and find solace. As she shared her work on social media, she discovered a profound resonance with others. This connection propelled her to compile her writings into powerful books that ignite hope and champion mental well-being. Her debut book, “Why I Never Gave Up”, garnered global acclaim, winning the African Author Award in empowerment. It even received a nomination for best self-help book at the prestigious US Author Academy Awards. Princess Nomalanga Siziba Fuelled by her storytelling passion, Princess established “WING UP Publishing,” empowering individuals to share their narratives with authenticity and impact. Guided by the belief that every story holds value, Princess fostered a publishing house attracting clients globally, spanning the UK, Germany, China and South Africa. Remarkably, she achieved this entirely virtually, operating from her mother’s house in Cowdray Park. Beyond literary triumphs, Siziba has made significant strides in the skincare industry. Inspired by her own battles with severe teenage acne, she embarked on a year-long research odyssey to unearth natural solutions. “What most people don’t know is that I was one of those teens who struggled with severe acne. I’d even be teased at school with one student once saying to me, ‘your skin looks like a bar of soap that has been rolling in sand’ in reference to how rough and grainy my skin looked. “My confidence and self-esteem took a knock and I started wearing hats a lot at school to cover the acne. As I matured into adulthood I was still dealing with that acne. I’d go broke just trying to fix my skin as I would go for the most expensive acne treatments thinking it would help me and eventually, I got tired of it all and decided to commit to a year of researching on natural skin solutions. That’s until I stumbled on an article about Zumbani tea,” she said.  Fuelled by a year of research, her unwavering determination crystallised into “Indalo” in 2021. This ground-breaking brand, Zimbabwe’s first 100 percent vegan and organic skincare line, takes pride in Zumbani tea as its unique hero ingredient. Backed by science, Indalo’s products harness the power of Zumbani tea’s rich antioxidants to nurture healthy skin. Siziba’s relentless drive has garnered well-deserved recognition. In 2022, she was crowned one of the top 100 Zim Achievers and Influencers in Matabeleland. The same year, she triumphed at the Zimbabwe Business Youth Expo, earning the prestigious recognition of the United Nations — a testament to her exceptional entrepreneurial spirit. Most recently, she secured the coveted best innovation award under ZimTrade’s Export incubator programme, solidifying her position as a visionary leader in the skincare industry. “Participating in the Zimbabwe Business Youth Expo was a life-changing experience. It opened doors, instilled confidence and helped people trust the Indalo brand even more. The recognition I received has propelled my aspirations and I now firmly believe that Indalo can become a global brand to be reckoned with,” she said. Siziba’s journey as a businesswoman is deeply rooted in her experience with the Academy for Women Entrepreneurs (AWE). She credits the programme for equipping her with the essential foundation to thrive. AWE instilled in her the importance of a strong Unique Selling Proposition (USP), allowing her business, Indalo, to stand out from the crowd upon launch. Siziba leverages the power of storytelling in both her business and advocacy efforts. Recognising the impact of emotional connection, she integrates compelling narratives to drive success. Indalo products Her passion extends beyond entrepreneurship. Drawing on her experiences and wisdom, she champions mental well-being and strives to uplift and inspire others. “When others heal, I heal too. My purpose is to serve through my writing and entrepreneurial pursuits, sharing the things that have helped me overcome challenges and motivated me to rise again.” Siziba urged young authors and entrepreneurs to shun procrastination. “Start right where you are. My journey began in Cowdray Park, the least likely place for people to succeed, but I dared to believe that I could be the first of something. Starting is half the battle won. A year from now you’ll be proud that you started,” she said. As an avid reader and YouTube videos enthusiast, Siziba also loves travelling. Unbeknown to a lot of people, Siziba has also tried her hand in music as she once won a singing competition at the late Cont Mhlanga’s Amakhosi Theatre when she was in high school, but due to lack of mentorship, “the passion kind of disappeared”. Looking ahead, Siziba envisions a future filled with innovation and expansion. With numerous exciting projects in the pipeline, she invites her followers to stay tuned for upcoming announcements. — Follow on X @MbuleloMpofu         "
https://www.chronicle.co.zw/shattering-the-silence-how-the-girl-get-up-movement-is-changing-lives/,Shattering the silence: How the Girl Get Up movement is changing lives,"Flora Fadzai Sibanda, [email protected] AT 28 years old, Michele Gombedza recognised the challenges of growing up without a peer to confide in for stress relief.
To address this gap, last month she started the Girl Get Up Movement, a women’s empowerment programme aimed at young women and teenagers. The initiative provides a space in which women can share strategies and insights to navigate daily difficulties. It has received requests to expand to other cities and Michele hopes to collaborate with other organisations offering psychological, mental and social support to women. Some of the women who attended the girl get up movement   “I remember there was a time when I was in a dark place and I had no one to confide in. It became so bad to an extent that I lost weight and was thinking of taking my own life. When I looked at my own situation, I realised there are so many other young people who are going through the same thing and they have no one to turn to, that’s why I decided to start this movement so that it could be a safe space for such women,” said Michele. The project’s first session focused on learning to manage pain from past experiences, conducted with the help of a therapist.  “Most women are hurting because of past events that is why we decided to start with a letting go session. Because of these past events we are holding on to, our mental health and social lives end up being affected. “During the session, girls wrote down all hurtful things they now want to let go on a glass plate, so they could move on with life. As a sign of breaking from those, we all smashed the plates. The next session is going to be the ‘Sis Are You Ok’ movement. It’s going to be like a follow up to what we did just to talk about how the girls are doing after the letting go session,” she said.  “My greatest drive is to help other women and our hope for the future is inviting organisations which are also into psychological, mental and social support such as Friendship Bench, Zwala and Musasa, who deal with women protection. Some cases that come up in our sessions need strong psychological counselling, support and legal representation. Once we have those partnerships. We can be able to direct those cases to those organisations and work hand-in-hand with them,” said Michele. — @flora_sibanda "
