Link,Title,Content
https://www.chronicle.co.zw/arne-slot-set-to-make-big-decisions-on-20-liverpool-players-amid-mixed-fortunes/,Arne Slot set to make big decisions on 20 Liverpool players amid mixed fortunes,"Arne Slot is set to become Liverpool manager this summer and will have a big decision to make on the club’s loan players Liverpool’s 20 loaned-out players have had a mixed bag of experiences in the 2023-24 season, with new manager Arne Slot set to take over from Jurgen Klopp and reshape the squad. Slot, who is currently managing Feyenoord, has a reputation for nurturing young talent, making him an ideal successor to Klopp, who has successfully integrated several academy players into his team. This season, a significant number of Liverpool’s emerging stars have been sent out on loan – 20 in total. Not all are ready for first-team action just yet, but many will be hoping to impress Slot when he takes the reins at Anfield. Here’s how each of Liverpool’s 20 loanees have performed this season, according to Mirror Football. Calvin Ramsay Ramsay joined Liverpool amid high expectations in the summer of 2022, but his two loan spells this season at Preston North End and Bolton Wanderers have been disappointing. The Scottish player has struggled to make his mark at either club, suggesting that another loan spell may be necessary before he’s ready for Liverpool’s first team. Rhys Williams Williams’ season has been far from successful, with the defender seeing more action for Liverpool’s Under-23s than during his loan spell at Aberdeen. In fact, the 23 year old rarely made it onto the bench for the Dons, indicating that he’s some distance away from securing a place in Liverpool’s first team. Fabio Carvalho Carvalho kicked off the season at RB Leipzig, but was primarily used as a super sub by the Bundesliga squad. After his relationship with Leipzig soured, he was shipped out to Hull, where he shone in their play-off push. Despite falling just short, the Portuguese international stands a good chance of being promoted to Liverpool’s first team in the new season. Harvey Davies Davies spent a large part of the season as Crewe’s go-to keeper, but has been dropped from their squad entirely during the final stretch. Although Caominhin Kelleher is expected to be sold this summer, Davies needs another season on loan before he can be considered as a potential back-up for Alisson. Owen Beck Beck, who has been a standout performer for Dundee, is one of Liverpool’s most impressive loanees. Before an injury sidelined him in March, Beck had been a regular starter for the Scottish side, scoring twice and providing four assists in 28 appearances, helping them secure a top-half finish. With doubts over Kostas Tsimikas’ quality, Beck is a prime candidate for a first-team call-up. Sepp van den Berg Van den Berg has been one of the few bright spots in a dismal season for Mainz. The 05ers have been fighting relegation all season, with Van den Berg sitting out just one match. With Liverpool’s defence set for a revamp this summer, he could be asked to step up. Anderson Arroyo It seems unlikely that Arroyo will ever become a regular for Liverpool. The 24 year old has been a starter for Spanish second-tier side Burgos this season, but with Conor Bradley emerging as Trent Alexander-Arnold’s top back-up at right-back, a sale this summer seems probable. James Balagizi This season has been a let down for Balagizi, with the 20 year old struggling to make his mark on loan at either Wigan or Kilmarnock. The midfielder has only made 13 appearances in total this term and another loan move this summer seems to be his best bet. Dominic Corness Corness has had a successful campaign at Yvderon-Sport in the Swiss Super League, helping them likely avoid relegation. The midfielder has made 21 appearances in all competitions, though another loan move would probably be best for the 21 year old. Adam Lewis Lewis has had a mixed season on loan at Newport County, having several spells out of a team which endured a disappointing year in League Two. This was his second spell at Rodney Parade and a permanent move to an EFL team appears to be his most likely move this summer. Jakub Ojrzynski Another young Red who has had mixed fortunes out on loan is Ojrzynski, with the Polish keeper spending much of the season as back-up at Dutch second-tier side Den Bosch. He will need regular game-time on loan next season if he is to convince his parent club that he has a future at Anfield. Billy Koumetio Koumetio will be eager to put this season behind him as swiftly as possible. Initially, he was loaned out to Dunkerque, but a disagreement led to his return to Anfield. The defender was then dispatched to Blackburn Rovers, but he didn’t manage to make an appearance for the Championship team. It’s unlikely that Slot will call him up this summer. Luke Hewitson The 19 year old has had a successful season with Stalybridge Celtic. The non-league side were so impressed that they extended his loan in January, and another move seems likely for Hewitson this summer. James Norris Despite a challenging start to the season, Norris finished the campaign as Tranmere’s starting left-back. With Rovers finishing mid-table in League Two, another loan move would be best for the 21 year old’s development. Tyler Morton Morton has been the star of Hull’s bid for a play-off place in the Championship and seems to be the most likely to receive a call from Slot. He scored three goals and provided five assists in 41 appearances for the Tigers, as well as shining on the international stage for England’s Under-21s. Slot is likely looking forward to working with the young talent. Nat Phillips After a tough stint at Celtic, Phillips has found success at Preston. He has made 18 appearances for North End and has proven to be a reliable senior option. However, with his contract expiring in 12 months and the Englishman keen to get more game time, it might be the right time to sell. Luca Stephenson Stephenson proved to be a valuable asset for Barrow this season, despite not contributing any goals or assists. His team narrowly missed out on the play-offs in the third tier and another loan move would likely be the best option for him to secure a regular position. – liverpoolecho.co.uk      "
https://www.chronicle.co.zw/antipas-sings-donovan-praises/,Antipas sings Donovan praises,"Innocent Kurira, [email protected] CHICKEN Inn coach Joey Antipas says goalkeeper Donovan Bernard will be missed if he makes a move away from the club. This comes after his heroic exploits that saw him save Chicken Inn from what looked to be a defeat against Bulawayo Chiefs at the weekend. The match ended nil-all thanks to Bernard. Bernard saved a Never Rauzhi penalty kick before going on to make other point blank saves which proved why he is the country’s number one. Antipas had nothing but nice words for his shotstopper. “Donovan is a great keeper. To have him in our side is great news. He is keeping clean sheets and for us it’s a great boost. If he has to go we will miss him. We will certainly miss Donovan if he does go,” said Antipas. Already, South Africa’s Supersport United chief scout, Paul Matthews has been in the country to assess Bernard. Matthews was in the company of one of the country’s renowned player agents, Gibson Mahachi when Chicken Inn played host to Dynamos. The goalkeeper is set to go through further assessment when Zimbabwe play their World Cup Qualifiers in South Africa next month. The Warriors’ fixtures against Lesotho and South Africa will be played across the Limpopo River, since Zimbabwe is still without a stadium certified to play host to international matches. Rufaro Stadium is still being renovated and even struggled to get the Zifa First Instance Board (FIB)’s approval for the hosting of Premier Soccer League (PSL) matches Interestingly, earlier on this year, Supersport United, who are fondly known as Matsatsantsa aPitori, invited Dynamos goalminder Martin Mapisa for a brief trial stint. Supersport United provides home to ex-Warriors duo of Washington Arubi and Onismor Bhasera. The club once had Kudakwashe Mahachi, the late imposing Warriors goalkeeper George Chigova and Terrence Dzukamanja in their books.—@innocentskizoe "
https://www.chronicle.co.zw/magnificent-seven-for-merseyside-cheshire-aba-as-region-breaks-records-at-national-finals/,Magnificent seven for Merseyside & Cheshire ABA as region breaks records at national finals,     
https://www.chronicle.co.zw/boxing-bill-set-for-palace-hotel/,Boxing bill set for Palace Hotel,"Innocent Kurira, [email protected] BOXING action will return to Bulawayo with a bill set for Palace Hotel on Africa Day. The tournament will be hosted by Palace Hotel in conjunction with the Zimbabwe Boxing Federation (ZBF). ZBF technical director Steven Masiyambumbi said preparations for the tournament are on course. “Our preparations for the event are well on course. We aim to give our boxers as much action so that we prime them to be always ready for competition,” said Masiyambumbi. In the Africa Day tourney, there will boxers from the Zimbabwe National Army, Zimbabwe Prisons and Correctional Services, the Air Force of Zimbabwe, local boxing clubs like Tshaka and Nketa as well as others dotted around the city’s western suburbs are expected for the tournament. Traditionally, the security forces, particularly the Zimbabwe National Army have the largest pool of amateur boxers given the number of boxing clubs within military barracks that are well resourced with equipment. This will be the umpteenth time that the establishment will be hosting a boxing tournament in recent years, giving renewed hope to local boxing fans that the sport is still alive and well in Zimbabwe after years of stagnation. Clubs from all the provinces that are expected to be part of the tournament include Black Rhinos, HQ 1 Brigade, 5 Brigade, Bulawayo Metropolitan, Prisons and Correctional Services, Air Force of Zimbabwe, Bulawayo, Harare, Midlands, Victoria Falls Boxing Academy, Manyuchi Boxing Academy, Masvingo, Gwanda and Hwange.-@innocentskizoe   "
https://www.chronicle.co.zw/late-vp-nkomos-son-donates-new-sport-kit-to-landa-j-high-school/,Late VP Nkomo’s son donates new sport kit to Landa J High School,"Peter Matika, [email protected] THE son of the late veteran nationalist and Vice President of Zimbabwe Dr John Nkomo, Mr Mpini Nkomo, on Friday honoured his father’s legacy  by donating brand new sports kits to Landa J High School in Tsholotsho District, Matabeleland North province. Named after the late Vice President, Landa J. Nkomo, the schools officials and learners expressed excitement to receive the generous donation, which goes a long way in capacitating the institution’s sporting performance. The expressed gratitude to Mr Nkomo for assisting them saying sport was a serious component of the new curriculum. The colorful sports kits, were presented to the excited students during a special ceremony at the school grounds where Mr Nkomo spoke passionately about his father’s love for education and sports, emphasizing the importance of both in shaping young minds and building a strong community.  Mr Nkomo, who is based in America, following in his father’s footsteps of generosity and kindness said the gesture meant so much to his family. “We came together as family and friends to ensure that our father’s legacy continues. I have a strong sports history and that is why I chose to donate sports equipment,” he said. “We also want to ensure that the school introduces other sporting activities that are not offered at the school such as basketball and cricket. This is also to ensure the children are occupied and do not get involved in delinquent behaviour,” said Mr Nkomo.  He said the act of kindness has a ripple effect, and hoped that it will inspire others to give back and make a positive impact in their own communities. “The spirit of giving and community unity is alive and well. The legacy of our father will live on and hope to see it inspire generations to come,” said Mr Nkomo. The learners cheered and clapped as they tried on their new uniforms, feeling a sense of pride and unity in representing their school on the sports field. Mr Nkomo said the impact of his donation will be felt for years to come, inspiring the next generation to strive for excellence both academically and athletically. “As the children embark on their sporting journey I want them to feel a strong connection to a man who dedicated his life to serving his community and building a brighter future for all,” said Mr Nkomo. "
https://www.chronicle.co.zw/sean-williams-retires-from-t20is/,Sean Williams retires from T20Is,"Brandon Moyo, Sports Reporter VETERAN all rounder Sean Williams has retired from T20I cricket following the completion of Zimbabwe’s tour of Bangladesh. With Zimbabwe Cricket (ZC) yet to confirm the news, an impeccable source confirmed to Zimpapers Sports that “it is done.” Considered as one of the finest players to ever don the Chevrons jersey, Williams boasts of one of the longest T20I careers in world cricket, dating back from 2006. He will continue playing ODIs and Tests. In his illustrious career, the 37 year all rounder played 81 T20Is for the Chevrons, scoring 1 691 runs at an average of 23,48 and a high score of 66 runs. He has 11 half centuries under his name. With his leg spin, Williams took 48 wickets in 81 matches (73 innings) with best figures of 3/15. He had an average of 28,62 and an economy rate of 6,93. Williams, a master of the reverse sweep will be remembered as one of Zimbabwe’s greatest 20-over cricket players. More to follow…
. -@brandon_malvin "
https://www.chronicle.co.zw/watch-quick-flashes-dazzle-bosso/,WATCH: Quick flashes dazzle Bosso,"Nkosilathi Sibanda at Barbourfields Stadium  Highlanders 0-2 FC Platinum THE glory that laced Highlanders’ good start to the Castle Lager Premiership was dented as they succumbed to a two-nil loss against visiting FC Platinum at Barbourfields yesterday. Early goals by FC Platinum, that came in a quick flash inside 10 minutes was all that separated the two teams. FC Platinum opened the nets in two minutes of play through Juan Mutudza, who well positioned himself to finish off a co-ordinated play. Highlanders rear guard was caught off guard and exposed their goalkeeper Raphael Pitisi, who dived the wrong way and let in a beauty of a shot. Inside the five minutes, Highlanders tried to raid upfront, making fast paces but the visitors’ defence was alert, marking close man-to-man, shutting out the efforts.  FC Platinum had the first corner, just in 10 minutes of play, Mutudza curled it and Lawrence Mhlanga rose high and nodded the second goal. It was two-nil.  Highlanders were not in their usual form. That trusted defensive line led by captain Peter Muduhwa was porous. The goalie was out of sorts in as much as he needed that rear cover. After the second goal, Bosso attempted to regain composure and there was Mvelo Khoza with a thunderbolt that however, went wide. Godfrey Makaruse, who was drafted in to replace Archford Faira, was tackled on his attack in the left lank by Hagiazo Magaya. It was a foul. Mbeba took the kick and skied it.  Bosso’s first corner came in the 30th minute. Prince Ndlovu took the task and got no takers at goal. Another corner kick came and Andrew Mbeba was trusted to pass it through, instead, the ball was blocked by Platinum’ Rainsome Pavari. In that first stanza, Bosso’s midfield failed to create and maintain play. FC Platinum read the match so well and saw that Bosso had a huge lapse in the middle of the park, so much that they made a good advantage of blocking Highlanders’ best offensive moves, in the crosses, coming off the flanks.  The absence of the ever creative Melikhaya Ncube was felt. Ncube was serving a yellow card suspension. At the 37th minute, Bosso had the chance to reply as McKinnon Mushore’s shot hit the upright post with the rebound landing on Prince Ndlovu’s boots, who let it wide and made the fans sigh in disbelief of a moment they saw as a redemption. However, it wasn’t to be. FC Platinum had their second and third corners at 39 minutes taken by Panashe Mutimbanyoka. They yielded nothing. A forth corner cane their way in the 43rd minute. The whistle was blown to end the first-half. All was well for the Norman Mapeza-coached side. In the opening 15 minutes of the second-, Highlanders will rue the chances they missed, they could have got the consolation and even levelled matters. Lynoth Chikuhwa had a near miss as he hit the ball to the far post. It was another opportunity for recovery. Showing off their Pure Platinum Play, the visitors could have netted their third goal through Hagiazo Magaya. Both teams made changes in bringing in substitutes. FC Platinum were the first as they made a double substitution in 61 minutes when Thandolwenkosi Ngwenya came for Wilfred Muvirimi and Oscar Bhebhe for Davison Murowa. Bosso, reeling under pressure, in the 66th minute brought Marvellous Chigumira, resting Mvelo Khoza. Calvin Chigonero came in for Devine Mhindirira. The losing side also brought in Talent Dube to replace Godfrey Makaruse in the 79th minute. At the stroke of full time, in the 83rd minute, Mapeza made another change. Brighton Manhire replaced Shephard Mhlanga. Kelvin Mangiza was off for Mutudza.  For FC Platinum, the fresh legs could have been to cement the lead they enjoyed so well while for Highlanders coach Kelvin Kaindu it was a desperate search for goals that were elusive. It felt bad for Kaindu and he was in pain for not having Melikhaya on the fold. He admitted his side wasn’t on point yesterday. It was Highlanders’ second loss in the campaign. Kaindu made a reference to Melikhaya Ncube’s absence which he said affected the team. “We were unsettled in the first 10 minutes that we conceded two goals and it is always difficult to come back, especially against a team like FC Platinum. I think Melikhaya’s absence probably affected us. “We didn’t convert chances that came our way. Our opponents scored the chances they got. What happened was failure to convert the numerous chances that we had. Even in the second-half we looked a  stronger side but unfortunately we couldn’t get the goals from the chances we created.  FC Platinum coach, Norman Mapeza was a happy man and heaped praises on his charges. He, however, said he didn’t expect the victory given Bosso’s legacy at Barbourfields and their record so far. – @NkosieLegend.      "
https://www.chronicle.co.zw/drama-as-schoolboys-hold-dynamos/,Drama as Schoolboys hold Dynamos,"Tadious Manyepo, Harare Bureau Dynamos 1-1 Herentals MATCH officials hogged the limelight as low-key Castle Lager Premiership Harare derby between Dynamos and Herentals ended in a controversial draw at Rufaro yesterday. Far side assistant referee Kudzanai Hiya, who flagged Herentals’ Dreamer Liyeto opener for offside with 27 minutes on the clock, again raised his flag when Donald Dzvinyai appeared to have secured the points for Dynamos. With DeMbare players sprinting to celebrate and later confront Hiya, Herentals quickly started play and as they were going clear of goal, the Dynamos bench, led by goalkeepers’ coach Britto Gwere rushed into the pitch to curtail the attack. Apart from the controversy of disallowed goals, the “dirty” match was characterised by crude tackles and every aspect of tension.  After missing an array of chances in the opening half hour, Nomore Chinyerere broke the ice with a fortuitous finish, benefiting largely from poor goalkeeping by Takudzwa Chikosi, who fumbled the tame effort letting it slide in between his legs with 31 minutes played. With the Glamour Boys tiding things up to the break, they had no answers to the Students raids with substitute Milton Chimedza coming to the end of Tino Benza’s cross after 66 minutes. Dynamos gaffer Genesis Mangombe decried his team’s failure to utilise their opportunities. “We should try and make sure that we score goals whenever we get chances. I think we got so many chances in the first-half but we failed to score,” said Mangombe. “Some of these decisions are costing us at the end of the day but I am not a referee. “If it’s a goal, it’s a goal. Even in their (Herentals) goal, I thought there was an infringement on Jalai (Emmanuel). We scored a clear goal but it was disallowed.” His Herentals counterpart Paul Benza said he was not qualified to comment about match officiating although Liyeto’s first-half goal appeared to be legitimate. “I don’t qualify to comment about match officials,” said Benza.    "
https://www.chronicle.co.zw/boxing-and-wrestling-control-act-falls-short/,Boxing and Wrestling Control Act falls short,"Fungai Muderere, Senior Sports Writer THE present Zimbabwe Boxing and Wrestling Control Act (Chapter 25:02) is reportedly outdated and is not aligned with the Constitution of Zimbabwe Amendment (No. 20) Act. 2013, amid revelations that it does not provide for participation for all including women and people with disabilities among other challenges.  The revelations were made by Zimbabwe National Boxing and Wrestling Control Board (ZNBWCB) acting chief executive officer Priscilla Kadungure, a key figure in the day-to-day running of professional boxing in the country. ZNBWCB was established through the Zimbabwe Boxing and Wrestling Control Act Chapter 25:02 of 1956. The objects of the Board are to regulate, control and exercise general supervision over boxing or wrestling at tournaments in Zimbabwe with a view to the elimination of undesirable practices and the protection of the interests of boxers, wrestlers, promoters, officials and the public generally. According to the Boxing and Wrestling Control legislature, which was enacted in 1963, female boxers are not recognised and it had to take the efforts of the board back in the late 1980s to convince the Sports Ministry to allow women to participate in professional boxing. Kudungure said the Boxing and Wrestling Control Act now fails to provide for: “effective professional combat sport dispute resolution mechanisms, participation for all including women and people with disabilities, marketing mechanisms for combat sport and integrated system for smooth transition from amateur to professional combat sports.”  As if that is not enough, Kadungure revealed that the Boxing and Wrestling Control Act (Chapter25: 02) has been found wanting as it also fails to provide for the recognition and reward of outstanding combat sport persons, managers, promoters, trainers, organisations and associations through a national awards system, protection from exploitation, protection of all combat sport persons, managers, trainers, promoters and officials, establishment and maintenance of cordial relations with regional, continental and international combat sport bodies. Zimbabwe Boxing Federation (ZBF) technical director Stephen Masiyambumbi said there was a need to revise the Boxing and Wrestling Control Act to recognise professional women boxers. “Changing the Act will be a move in the right direction. There is a need to change that Act so that it also covers female professional boxers. At a time the Act is silent on professional female boxers, female boxers that include Monalisa Sibanda and Kudakwashe Chivandire have done well in professional circles.  “However, on the amateur side we do not have any problems because our constitution allows us to use International Boxing Association (IBA) rules where we are affiliated. We are governed by the Sports and Recreation (SRC),” said Masiyambumbi. Matabeleland South provincial boxing co-ordinator Maculwamahle Nkomo bemoaned the Boxing and Wrestling Control Act’s failure to provide for participation for all including women and people with disabilities. She said there was a need to include everyone in sport for the benefit of the country as a whole. “It’s a disheartening development. The growth of professional boxing and wrestling into a thriving industry in Zimbabwe can become a reality and as a province we have always believed they can create employment in both disciplines. Our key thrust has been to push for everyone’s inclusion, that is women and those with disabilities. “Everyone should participate in boxing and wrestling as an athlete, official, coach and in any other way. It all calls for total inclusion, it is combat sport no one should be left behind. We are not gifted in the same thing and as a province we are making strides in trying to train deaf people who are interested in boxing,” said Nkomo. – @FungaiMuderere    "
https://www.chronicle.co.zw/hollick-wins-fbc-zim-open-championship/,Hollick wins FBC Zim Open championship,"Eddie Chikamhi, Harare Bureau GOLFER Michael Hollick kicked off his birthday week in a magical style after he beat a strong field to lift the 2024 FBC Zimbabwe Open Golf championship for the first time at Royal Harare yesterday. Hollick, who turns 37 this Wednesday, needed to summon all his golf prowess to finish with a 20-under-par 268 after an epic final day against South African compatriot Darren Fichardt, who pushed him to the limit with his 18-under-par 270. Zimbabwe’s top professional Scott Vincent was in third place with a respectable 14-under after a feisty last two days on the greens. His brother Kieran Vincent also put up a commendable show, tied for fourth place with Swedish golfer Frederick From. Another Zimbabwean Ben Follett-Smith was sixth on 11-under while highly rated Zimbabwean golf prodigy Matthew Bramford, was the top amateur after finishing on 38th place with a course par score 288. But as has become the norm, it was the South African golfers who dominated the event. Hollick, who won his second Sunshine Tour title with the FBC Zimbabwe Open success, was excited to be on the winning podium, six years after he last participated in the Harare event.  “It’s always amazing to be here. I haven’t been here since the outbreak of Covid-19 pandemic so coming back was nice and the golf course hasn’t changed in the last five years. It’s always brilliant from the first time I played here in 2011. So I am very pleased,” he said. The 36-year-old had to hold off competition from compatriot Fichardt with six birdies for his final round 66. Hollick had a one-stroke lead going into the final round after he had followed up his first two rounds of 66 and 67 with an impressive 68 in the third round on Saturday, leaving him on 15-under-par. He had a bogey on the 11th hole but the script still went his way yesterday with a crucial birdie in the 17th as Fichardt was dented by two bogeys on the second and 11th holes despite also carding six birdies on the final day.  “It was great,” said Hollick.  “I have been lucky enough to play a lot of tournament golf with Darren over the years and he is one hell of a player. So I knew he wasn’t going to give it to me today and I had to go out and win it. Fortunately, I had the goods and I produced it in the end. “And, the biggest thanks go to the fans here; to the crowd that was out here thank you so much. You really make the most incredible environment for us to play.  “I also want to thank Royal Harare Golf Club for hosting us. The golf course was absolutely amazing and I can’t thank you guys enough.  “I also want to thanks Darren Fichardt, it was a hell of a battle today. We had a good go out there and well-played,” said Hollick.   For the umpteenth time, the Zimbabwe Open Golf title evaded the locals who were left waiting for their breakthrough 24 years since Mark McNulty became the last Zimbabwean to win it in 2000. Scott Vincent reignited Zimbabwe’s hopes for the better part of yesterday but his five-under 67 was not enough to give the top two South Africans a jolt as he settled in third place.  His brother Kieran Vincent had started the day as the best placed Zimbabwean on 11-under par but he failed to continue with the momentum from the previous day. Bogies in the eighth, 10th and 13th holes came at a huge cost for the younger Vincent.  Scott Vincent said the course was tough and will try again next year to challenge for the Zimbabwe Open. “The Sunshine Tour is always strong,” he said.  “They always play really tough and obviously it’s good to have them come here and play and it was fun to play JC Ritchie. He is a fantastic player, he played on the world stage.  “So all in all it’s a strong field and it’s good to be here. I would love to come back and play every year. We have just to see the scheduling and how it all works out,” said Scott Vincent.  Sunshine Tour Tournament Director Gary Todd was thrilled by the successful hosting of the R2,5 million FBC Holdings-sponsored event.  “On behalf of the Sunshine Tour I can’t thank FBC Holdings enough, it was such a fantastic event. It would be rude of me not to mention the Royal Harare Golf Club course staff who have preserved the facility this week in the most outstanding condition.  “To the people of Harare, who have come out and supported us during this magical week, I can’t believe it has gone so quickly and we won’t see you for another year, it’s too long,” said Todd.      "
