Link,Title,Content
https://www.herald.co.zw/rheumatic-heart-disease-burden-on-the-rise-in-zimbabwe/,Rheumatic heart disease burden on the rise in Zimbabwe,"Sifelani Tsiko Innovations Editor The rheumatic heart disease, a condition that affects the heart valves, is now the most prevalent heart problem affecting most Zimbabwean patients seeking treatment, a top cardiovascular expert has said. Cardiovascular and thoracic surgeon, Dr Wilfred Muteweye told The Herald in an interview that rheumatic heart disease cases are the most common condition they have operated on. “The most common heart disease that we operate on is rheumatic heart disease (RHD). This is when the heart valves are damaged over time due to the body’s reaction to a throat infection,” he said. “Initially the patient has a throat infection in childhood. As the body mobilises the immune system to fight that infection, the antibodies against the infection start to damage the heart valve tissue. The damaged valves then deteriorate overtime (10 – 25 years), resulting in an abnormally functioning heart (and lungs in some cases). The patient then develops chest pains, shortness of breath and fatigue, among other symptoms. “Our job is to remove the diseased valve and put in an artificial one. This, if done early enough, will allow for the reversal of symptoms and allow the patient to live life to the full, to have a life expectancy similar to any other people in the population.” This condition arises as valves become damaged due to inflammation in the heart tissue. Experts say the heart valves are important to ensure blood flows through the heart smoothly. They also help prevent the backflow of blood. Damage to the heart valves can cause serious health conditions. Zimbabwean cardiac specialists resumed open heart surgeries early this year. They are targeting to perform 60 free open heart surgeries this year as they scale up efforts to significantly reduce the backlog of people needing treatment. As of December 2023, the team had conducted 22 open heart surgeries. Out of these, three patients died while 19 recovered well. In the first quarter of 2024, Zimbabwean surgeons conducted nine successful heart operations at Parirenyatwa Group of Hospitals, one of the country’s largest referral hospitals. “For 2024, we started at the end of January. We have conducted surgery on nine patients,” Dr Muteweye said. “We currently have three patients at Parirenyatwa Hospital who are recovering from the surgeries. One of them had two valves, which we replaced. She is almost ready for discharge.” Worldwide, about 20 million people suffer from RHD, according to the World Health Organisation. Sub-Saharan Africa is the most affected region in the world and in Southern Africa, 17 out of 1 000 people suffer from RHD. “Heart valve surgery is the only relief for most of them. Sadly, not many Sub – Saharan countries offer cardiac surgery. In addition, cardiac surgeons are in short supply. The ratio of cardiac surgeons to the general population in Africa is ome surgeon per 5 million people, while in the West it is one surgeon per 50 – 100 000 people. In Zimbabwe, we are slightly better than other African countries with one surgeon per 3 million people,” Dr Muteweye said. He said rheumatic heart disease conditions could be prevented through early treatment of childhood throat infections with antibiotics and reducing overcrowding. People more at risk of these infections are in large crowded places such as schools, day care centres or colleges. Anyone can develop rheumatic fever, but it is more common in children aged five to 15 years and it is very rare in children younger than three years old as well as adults. Rheumatic heart disease symptoms vary depending on the severity and extent of the damage to the heart valve. Health experts say in some cases, there may be no symptoms, while in others, they may include pain or discomfort, shortness of breath, swelling of the stomach, hands or feet, fatigue, rapid or irregular heartbeat. "
https://www.herald.co.zw/hexco-results-out-22/,HEXCO results out,"Ivan Zhakata Herald Correspondent THE April/May 2024 National Foundation Certificate (NFC) to Higher National Diploma (HND) Higher Education Examinations Council (HEXCO) examination results are out. In a statement, the Permanent Secretary for Higher and Tertiary Education, Innovation, Science and Technology Development, Professor Fanuel Tagwira announced the release of the results. Prof Tagwira also thanked the lecturers, students, parents or guardians, examinations staff and all stakeholders involved in the national examination system as well as the teaching and learning process. “Their contribution has resulted in a 62.7 percent pass rate for this examination session. All HEXCO Centres are advised to collect the results from their respective regions as from Wednesday 15 May 2024,” reads the statement. "
https://www.herald.co.zw/mbire-man-dies-at-the-hands-of-nephew/,Mbire man dies at the hands of nephew,"Fungai Lupande Mashonaland Central Bureau A Mbire man whose sorghum field was grazed by a herd of cattle was fatally assaulted by his nephew after he expressed his disgruntlement over the issue. Provincial police spokesperson, Inspector Milton Mundembe said the deceased, Last Mutematsaka, is the accused, Kero Dick’s uncle. Inspector Mundembe said on April 22 this year at around 3 pm, Dick’s mother, Eriza Chiunye (45), drove a herd of cattle into Mutematsaka’s sorghum field. A furious Mutematsaka exchanged words with Chiunye. She went home and told her son about the altercation. Armed with an iron bar, Dick, who was intoxicated, confronted Mutematsaka, accusing him of insulting his mother. He struck Mutematsaka several times on the stomach and groin until he became unconscious. His wife, Maria Chipiwe, rushed Mutematsaka to Chikafa Clinic where he was treated and discharged. The following day, Mutematsaka’s condition deteriorated and he was rushed to Chitsungo Hospital. He died on April 24. Inspector Mundembe appealed to members of the public to solve their differences amicably and avoid resorting to violence. “People need to seek the assistance of mediators or report to the police whenever they face some challenges in resolving disputes,” he said. "
https://www.herald.co.zw/charitable-harare-youths-support-children-with-neurological-disorders/,Charitable Harare youths support children with neurological disorders,"Peter Tanyanyiwa Herald Correspondent In an effort to complement Government’s efforts, a group of young people in Harare has joined forces to support children with neurological disorders through the Charity Project. The team behind the initiative include Mr Mark Chunga, the founder; Ms Wadzanai Majuru, the operations manager; Ms Natasha Machingura, the programs manager and Mr Munyaradzi Edmore Kashiri, the finance manager. Emphasising on the importance of collaboration, the group has formed partnerships with various organisations and schools to support children with neurological disorders. The disorders, often characterised by a range of physical and cognitive impairments, present substantial challenges for affected children and their families. While these conditions cannot be cured, the youth-led initiative seeks to enhance the affected children’s quality of life through a variety of projects and support systems. Speaking at a press conference over the weekend in Harare, Mr Chunga said the organisation has plans to expand their reach beyond Harare. Their goal is to reach and help as many children with neurological disorders as possible, irrespective of their location. “We have initiated various projects to support and finance this important cause, including a chicken rearing project. Our mission is to bring comfort and relief to the lives of these children and their families, and we are dedicated to making a meaningful impact in their lives,” said Mr Chunga. So far, the Charity Project has distributed wheelchairs, donated food and other items to affected children. The group’s unwavering dedication to this cause has attracted attention and support from various quarters, with many expressing admiration for the selfless initiative taken by these young people. "
https://www.herald.co.zw/zimbabwe-records-nine-open-heart-surgeries-in-first-quarter/,Zimbabwe records nine open-heart surgeries in first quarter,"Sifelani Tsiko Innovations Editor Zimbabwe cardiac specialists have resumed open-heart surgeries at Parirenyatwa Group of Hospitals in the capital, with nine patients benefitting in the first quarter of the year.   Veteran cardiovascular and thoracic surgeon, Dr Wilfred Muteweye recently told The Herald that his team has recorded steady progress and is optimistic of realising this year’s target of 60 patients.   “For 2024, we started at the end of January. Just this year we have done nine patients so far. Despite some challenges here and there, I am quite optimistic that we may soon be doing two cases per week once we get reliable and consistent supplies,” he said.   “We are building up gradually. We have been doing one open-heart surgery per week for the past few weeks,” said Dr Muteweye.   Zimbabwean cardiac specialists are targeting to perform 60 free open-heart surgeries this year as they scale up efforts to significantly reduce the backlog of people needing treatment.   As of December 2023, the team had conducted 22 open-heart surgeries. Out of this, three patients died while 19 recovered well.   “We currently have three patients at Parirenyatwa Hospital who are recovering from the surgeries. One of them had two valves replaced. She is almost ready for discharge,” Dr Muteweye said.   “Government continues to support us. None of our patients are paying for the surgeries. We are planning to start doing open-heart surgery for children this year, probably by August,” he said.   Zimbabwe resumed open-heart surgery at Parirenyatwa Group of Hospitals last year in June after the service was stopped in 2018.   From that year upto 2023, patients in need of open-heart surgery had to fork out huge sums of money to seek treatment in South Africa, India, Kenya, Italy, Sudan and other countries.   A heart operation in India costs anything between US$8 000 to US$15 000, depending on the complexity of the case.   On the other hand, the surgeries being conducted in Zimbabwe are done free of charge.   The country has between 500 and 600 adult patients with rheumatic heart disease awaiting surgery, while every year about 4 000 children are born with congenital heart deformities that need open-heart surgery.   “We have the capacity to conduct these operations and even more complex heart surgeries. We are gradually building our capacity and our team is becoming more efficient,” Dr Muteweye said.   “The operation times are now shorter, that is the time when the patient is on the operating table. The patient’s average stay in the intensive care unit has also become shorter,” he said.   Zimbabwe has a history of heart operations that dates back to 1959.   The first case of an open-heart surgery in Zimbabwe was reported in 1959 when two surgeons, Dr NJ Micklem and Dr GVS Wright, used external body cooling methods to conduct a successful operation on a 15-year-old boy who had a diseased pulmonary valve.   In the 1970s and 1980s, a philanthropic team from Loma Linda University, United States, visited Zimbabwe and did open heart surgeries.   From 1988 to 1992, a local team of specialists was set up to do operations. The open-heart surgery programme became a permanent feature from 1994, run by Dr David Chimuka and Dr William Mahalu and a few others.   However, the programme ceased in 2003 due to lack of foreign currency to purchase consumables after more than 400 patients had benefited.   According to a report by the World Health Organisation (WHO), cardiovascular diseases are the leading cause of death globally, with more than 19 million deaths reported every year.   Globally, heart disease-rElated deaths increased from 12,4 million in 1990 to 19,8 million in 2022.   Health experts say the Asia, Europe, Africa and the Middle East regions are estimated to have the highest burden of deaths due to heart related diseases, with high blood pressure, raised cholesterol, dietary risks and air pollution being the leading causes. "
https://www.herald.co.zw/gmb-mourns-board-member-swanepoel/,GMB mourns board member Swanepoel,"Precious Manomano Herald Reporter Grain Marketing Board (GMB) management and staff are mourning a dedicated board member and a legendary farmer, Mr Nicholaas Johannes Swanepoel, who passed away on 8 May. Mr Swanepoel died after a long illness at the age of 76. In a statement, GMB chairman, Ms Joylyn Ndoro said Mr Swanepoel was a successful and renowned commercial farmer specialising in livestock, tobacco and cereal production. “His contribution to the Zimbabwean agricultural sector and his role in ensuring food security cannot be understated,” she said. Mr Swanepoel was born in Lusaka, Zambia, on 19 June 1948 and moved to Zimbabwe with his family in 1963. He served as GMB board member from 1 May 2019 until his untimely death. The late farmer sat on various boards, including that of the Commercial Farmers Union, Burley Marketing Zimbabwe and Barclays Bank Agricultural Finance Corporation, amongst others. "
https://www.herald.co.zw/government-launches-digital-cross-border-permits-and-comesa-licenses/,Government launches digital cross border permits and COMESA licenses,"Freeman Razemba Senior Reporter Government has launched digital cross border permits and the Common Market for Eastern and Southern Africa (COMESA) carrier licenses for passenger and transport operators to facilitate the smooth and unimpeded flow of cross-border traffic between countries. The new ICT system for processing these permits and licenses is fully integrated with the Central Vehicle Registry to validate vehicle licensing and registration details. In a statement yesterday, Transport and Infrastructural Development Minister Felix Mhona confirmed the development. “Pursuant to the objectives of National Development Strategy 1 and the utility of digitalization as an enabler of economic development across the broad spectrum of growth factors, including in transportation, the Ministry of Transport and Infrastructural Development wishes to advise the public of the launch of the digital Cross Border Permits and COMESA Carrier Licenses for passenger and freight transport operators with effect from Thursday 9 May, 2024. “A digital Cross Border Permit is issued in terms of Article 4 of the Bilateral Road Transport Agreements signed between Zimbabwe and SADC Member States. Similarly, a COMESA Carrier License is issued in terms of Article 85 of the Common Market for Eastern and Southern Africa Treaty. The Bilateral Road Transport Agreements and the COMESA Treaty are meant to facilitate the smooth and unimpeded flow of cross-border traffic between countries,” he said. He said the digital Cross Border Permits and COMESA Carrier Licenses have enhanced security features. “Consequently, as a counterfeit deterrence measure, these permits and licenses have a digitally signed barcode which is readable by any mobile device. It is now easier for both local and regional traffic law enforcement agents to verify and validate their authenticity. “Our new ICT system for processing these permits and licenses is fully integrated with the Central Vehicle Registry to validate vehicle licensing and registration details. This system is also integrated with insurance companies to validate statutory third-party motor insurance and passenger liability cover. “This will enhance the ease of doing business for transport operators who will enjoy the convenience of reduced waiting times when they apply for the new permits and licenses issued at our Road Motor Transportation Offices situated in all the provincial centres across the country,” Minister Mhona said. "
https://www.herald.co.zw/zim-to-become-africas-fertiliser-production-hub/,Zim to become Africa’s fertiliser production hub,"Zvamaida Murwira recently in NAIROBI, Kenya Zimbabwe is set to be an African hub of fertiliser production, research and training after the African Union Summit resolved to rejuvenate and capacitate the African Centre for Fertiliser Development in Harare, President Mnangagwa has said. The centre was set up in Harare by the continental body in the 1980s to boost research, training and production, but has been dormant. It established in Zimbabwe through an AU protocol to train, provide technological transfer, support research and demonstrate the role of fertiliser to improve agriculture and fertiliser management practices. It also seeks to provide support to the fertiliser sector in Africa and coordinate projects at national, regional and international levels in the adaptation, testing and demonstration of improved fertiliser production. President Mnangagwa said Zimbabwe stood to benefit immensely from the rejuvenation of the continental centre. He was speaking in an interview with Zimbabwean journalists at the conclusion of the African Fertiliser and Soil Health Summit in Nairobi last week. The summit drew Heads of State and Government from the continent. African leaders resolved to fully use the centre in Zimbabwe to stop dependence on the global North, from where the continent is importing the bulk of its fertiliser, spending billions of US dollars in the process. Said the President: “It has been there. It was an AU decision a long time back. “It has been dormant, in my view, but now the rest of Africa has realised that it is necessary to capacitate it, that is to provide funding from the AU to make sure that it provides services for which it was created and I am happy that we host the continental centre.” President Mnangagwa said Zimbabwe, just like other African countries, has been lagging behind in terms of optimum fertiliser use and soil management. “We are behind, as I was listening to what is required, we always thought that application of fertiliser is normal, year after year. It is not like that, the soil itself gets aged, fertiliser cannot continue to be the same, it must continue to be improved, depending on the climate and soil of a particular region. “This is what we are learning and fortunately Zimbabwe is the centre for the continent, as a fertiliser centre, and now we are going to give more focus to make sure we recruit the expertise in that field to ensure that our centre delivers for the purpose of which it was set up.” The President described the summit, which ended last Thursday, as an eye -opener. “This summit brought together Heads of State and Government primarily to deal with the question of agriculture, and, in particular, we now realise that soil requires attention. “We have always thought that soil is soil, But we now realise that it has to be treated like individuals, like persons; this is what the conference was all about, to rejuvenate our soils so that they continue to give us better yields. “Yes, of course, in the past, people in many countries used fertiliser and so on, but it goes beyond just using fertiliser; we are now told that it requires health attention like human beings. “This is an eye opener and fortunately we had our Minister of Lands, Agriculture, Fisheries, Water and Rural Development, Dr Anxious Masuka. I am sure he has benefited from the presentations that were made.” Addressing Heads of State and Government, President Mnangagwa welcomed the decision to revamp the centre, which he described as a critical cog in promoting research on soil health and fertiliser development. “We, thus, welcome the commitment to fully operationalise and support the Africa Centre for Fertiliser Development, which was the brainchild of our august body and whose strategic mandate is aligned with the agenda of this summit,” he said. African Union Commission chairperson Mr Moussa Faki Mahamat said it was sad that the continent continued to import fertiliser, yet it had a centre in Zimbabwe which was not being fully used. “Regarding fertiliser, it constitutes a critical input for productivity if properly used. In terms of fertiliser use, Africa is below the global average, hence the meeting in Abuja which set 50kg per hectare per year. Some African countries produce fertiliser but we depend mostly on imported fertiliser, making it very expensive for our farmers yet the African Centre for Fertiliser Development based in Zimbabwe has been in existence since the 1980s. “We must optimise use of such existing continental assets to boost local fertiliser production and deliver to our farmers at affordable prices,” he said. “This is imperative if we are to improve the continent’s agricultural sector, which is key for our sovereignty and security.” In an interview, Minister Masuka said one of the summit’s resolutions was a declaration to integrate the centre, which is a fertiliser coordination mechanism platform, to become one of the AU organs. “You remember in 1981 (the then) Organisation of African Unity established a fertiliser coordination mechanism at continental level, the Africa Centre for Fertiliser Development, which Zimbabwe proudly hosted. “Eight countries have ratified, 33 countries have signed for it but it is not functioning as a continental institution and one of the declarations coming out of this conference is the full integration of this Pan-African institution into the main AU body, so that it can deliver the necessary research and development, also the capacitation that is required to ensure sustainable increase in the use of organic and inorganic fertiliser and the use of soil health,” said Minister Masuka. The summit, which ran under the theme “Listen to the Land”, had outcomes that include a 10-year action plan to deliver concrete action for steps to be taken by African leaders and stakeholders. The action plan will focus on new policies and investments that will enable farmers to work towards re-building soil health and ultimately increase yield responses and profitability. The summit came after the first held in 2006 in Abuja, Nigeria, which endorsed the Abuja Declaration on Fertiliser for the Africa Green Revolution, a continental strategy to reverse the trend of poor productivity of African soils. "
https://www.herald.co.zw/sa-e-passports-start-this-week/,SA e-passports start this week,"Blessings Chidakwa Herald Reporter Zimbabwe starts processing e-passports at its embassy in South Africa this week, with officers from the Registrar General’s department being deployed to assist consulate staff. As the Government continues to make strides in making civic documents readily available and easy to access, the Foreign Affairs and International Trade Ministry has completed the setting up of the e-passport processing centre in Johannesburg. Plans are afoot to open five more e-passport offices abroad, including in the United Kingdom, the United Arab Emirates and the US. The Second Republic is walking the talk on bringing services closer to the people, locally and abroad. In an interview, Permanent Secretary for Home Affairs and Cultural Heritage, Ambassador Raphael Faranisi, said all was in place to start the issue of e-passports in South Africa from this week. “Staff from the registrar’s office will this week be travelling to our South African Embassy to train the consulate staff on how to process e-passports. “The Foreign Affairs and International Trade Ministry was doing renovations at the consulate, but it is now complete. So, this week, while training the consulate staff, they will also be issuing the e-passports.” Within two weeks, issuing e-passports would be in full swing. Ministers of Foreign Affairs and International Trade and of Home Affairs and Cultural Heritage will officially commission the office on a date to be announced. The Government has opened several e-passport centres countrywide including in Guruve, Gwanda, Gweru, Lupane, Marondera, Beitbridge, Chitungwiza, Hwange, Mazowe, Murehwa, Zvishavane, Chinhoyi and Guruve, to add to the facilities at Chiwashira Muchecheterwa Building in Harare and at provincial and district offices in Bulawayo. Issuance of e-passports began on January 18 2022, as the civil registry department took heed of the Government’s directive to smoothen the process of acquiring travel documents, which, until then, was a nightmare for many people. The launch of the e-passport and the state-of-the-art passport enrolment centre, is in line with the Government’s vision of a modern and digitised economy. Strategic investment in key areas of the digital economy is seen as a critical way for Zimbabwe to keep pace with the dynamic and technological environment. "
https://www.herald.co.zw/vp-chiwenga-mourns-farmer-swanepoel/,VP Chiwenga mourns farmer Swanepoel,"Fidelis Munyoro Vice President Dr Constantino Chiwenga has sent a message of condolence to the Swanepoel family following the passing on of veteran farmer, Mr Nick Swanepoel, who died in South Africa last week. Last  night, VP Chiwenga said he, together with his wife Colonel Miniyothabo Chiwenga and staff from his office join President Mnangagwa in mourning Mr Swanepoel. He described Mr Swanepoel as a farmer of repute and a fine gentleman who served Mashonaland West Province and the nation at large with distinction. “He belonged to a rare breed of former farm owners who took it upon themselves to selflessly negotiate with the Government, culminating in the signing of the Global Compensation Deed, which provided a lasting solution to the land question in Zimbabwe,” he said. Mr Nick Swanepoel worked well with  VP Chiwenga in the Joint Resources Mobilisation Committee and his contribution to this noble national cause will solely be missed. “We shall forever cherish the moments we spent with him and remain indebted to him for his selfless contribution to the development of our great nation. To the Swanepoel family, please accept our heartfelt condolences.” Mr Swanepoel played a key and progressive role in the search for a cordial, negotiated settlement to the Zimbabwean land question, according to President Mnangagwa in his condolence message last Friday. President Mnangagwa extolled Mr Swanepoel’s level-headedness and the role he played when Zimbabwe corrected the skewed land distribution, which favoured white settlers to the detriment of native Zimbabweans. Mr Swanepoel was a long-time leader of the Commercial Farmers Union from the year 2000 when the struggle for the recovery of land entered a decisive phase. He and like-minded progressive white farmers kept their heads and tirelessly pushed for a non-confrontational and non-political approach to the land question, even calling for the removal of the then right-wing CFU executive led by Mr Tim Henwood, which they correctly saw as an obstacle to a just resolution of the land question. President Mnangagwa implored the nation to recommit to the vision of a non-racial society as the country mourns and remembers Mr Swanepoel, a great figure of post-independence racial conciliation through just settlement. All Zimbabweans, he added, should deepen and entrench the vision for a just, non-racial society in which colour, creed or tribe never count or matter in daily lives and engagements. After a successful land reform, the Government under the leadership of President Mnangagwa, signed the agreement that committed to compensate white ex-farmers up to US$3,5 billion for land developments. "
