Link,Title,Content
https://www.manicapost.co.zw/rev-ngoves-new-album-tackles-drug-abuse/,Rev Ngove’s new album tackles drug abuse,"The ManicaPost   Liberty Dube
Entertainment Correspondent FOR someone who started off as a young preacher, ministering to youths during Scripture Union – releasing a soulful seven-track gospel album after becoming a professional musician is quite a feat for Reverend Mathias Ngove. Reverend Ngove, a clergy with Divine Tribe International Ministries, has taken his dream of transforming lives through the gospel by releasing a seven-track album titled, Jesus My Everything. The project features tracks like Mhere-mhere, which is an advice to youths to shun drugs and substance abuse, given its detrimental impact on their health and future. The title track, Jesus My Everything is a call for people to seek the Lord, lean on Him in season and out of season. Another track, Makatipa Zvipo is an appreciation to Christ for blessing mankind with children and various gifts upon birth. The other track, My Bible and I, encourages young people to read the Word of God so that they live for Christ, while Torai Moyo Wangu is a hymnal song that encourages people to trust God for a bright future. Reverend Ngove will tomorrow launch the album at Courtauld Theatre, where Mutare’s top gospel artistes like Dorcas Moyo, Blessing Shumba, Carol Chidzikwe, Vimbai Dimba, Petty Mukanganwa, Cloris Muchuwaire, Billy Ngoreta, Ellen Anderson, Nyasha Chiripashi and Blessed Musendo are billed to perform. Born in Chivhu, Reverend Ngove went to St Paul’s Kuimba Primary School before proceeding to Norton where he did his secondary education at Vimbai High School. He discovered his artistic gift when he became part of playwrights at school. “The issue of drug and substance abuse is worrisome. Our youths’ future has been destroyed. I wrote the song with deep concern, and believe it will play a critical role in the fight against the scourge,” he said, before adding: “I grew well spiritually and discovered that I had a gift of ministering to young people. I joined Scripture Union as a volunteer and was able to reach out to young people. My music career developed as I realised ministering to young people involved singing. By the grace of God, a door was opened for me to go to Northern Ireland where I was involved in ministering to students. “My musical career shot when I met an Irish lady called Gillian who introduced me to a guitar and taught me how to play. And by the same grace, someone bought me a guitar right there and I carried it back to my country. “I am glad that I still have it. Having trained as a pastor, music was part of my ministering for many years before I thought of going into the studio. “I thank God that in 2023, I was able to produce an album, Mwari Haashanduke, which was well received,” he said. Reverend Ngove is backed by the Generations in Worship (GIWO).   "
https://www.manicapost.co.zw/manicaland-hosts-national-culture-month-commemorations/,Manicaland hosts National Culture Month commemorations,"The ManicaPost   Liberty Dube
Entertainment Correspondent NATIONAL Arts Council of Zimbabwe (NACZ) will launch the 2024 edition of the National Culture Month commemorations at Chisumbanje in Chipinge District at the end of this month. The event which is meant to preserve and celebrate the country’s diverse cultural identity will be held in Chief Garahwa’s area under the theme: “Our Culture, Building Zimbabwe Brick by Brick”. Vice President Kembo Mohadi will be the guest of honour at the event expected to draw hundreds of people, among them arts and cultural groups from Manicaland and beyond.
It is also expected to attract several traditional leaders as well as dignitaries from across the country. NAC Manicaland provincial manager, Carol Makoni said preparations for the national event are progressing well. She said the province is excited to host the prestigious cultural event. “Preparations are underway and we are happy with the progress so far. It will be a huge and potentially-intriguing event which will attract a lot of stakeholders as well as visual and performing artistes. Manicaland will take the opportunity to showcase local traditional dances, crafts and traditional foods, among other cultural artefacts. The itinerary will be packed and we are expecting thousands of people to grace the event,” she said. Culture Month commemorations are an extension of World Day of Cultural Diversity for Dialogue and Development, which is celebrated on May 21 – which was set aside by UNESCO in the Universal Declaration on Cultural Diversity in 2001. This is a huge boost for art and cultural groups in Manicaland as they are set to showcase the province’s rich cultural brand. One of the most successful arts groups in Manicaland – Manicaland Attached Instruments and Dance Exploration (M.A.I.D.E) is excited to have the national event on their home turf. The group was recently awarded a US$33 000 grant for an arts research project. The project — CreativeACTIONs 2 (2023-25) — is the brainchild of Culture Fund of Zimbabwe Trust, in collaboration with European Union. M.A.I.D.E comprises Charlton Torindo, Joseph Sithole and Kudzai Gwaze. More than 100 arts and cultural groups from across Manicaland Province as well as across the country are set to fully explore traditional dances and instruments that originated in Manicaland. Every district in Manicaland has its own eccentric dances such as Zhana (Makoni), Jaka (Buhera), Muchongoyo, Mhongo, Chokoto (Chipinge), Mangoni (Mutasa), Njekunje (Nyanga) and Chidzimba/Chimaisiri (Mutare) and these are expected to be showcased at the launch. “We are excited that the national launch will take place in Manicaland Province. This is a milestone and we are working hard to ensure that we fully utilise the historic opportunity. We are a province which is culturally rich with a lot of supremely talented visual and performing artistes. We are looking forward to dishing what Manicaland has to offer as well as to learn from other cultures from various provinces from across the country,” said a member of the group, Joseph Sithole. Last year’s launch was held in Binga, in Matebeleland North Province. President Mnangagwa officiated at the event which was held under the theme: “Promoting Cultural Diversity, Unity and Peace”.   "
https://www.manicapost.co.zw/blabbermouth-all-that-glitters-isnt-gold/,BLABBERMOUTH: All that glitters isn’t gold,"The ManicaPost   THE greatest tragedy of our generation is that we have people who spend a lot, but have never worked anywhere. One wonders where they would have amassed so much wealth.   Even their age does not correspond with the amount of wealth in their possession. Blabber is not jealous of those who are blessed to the extent of making so much money in a short space of time, but Yours Truly is only worried about our dear young ones, who then try to imitate those big spenders and end up dipping their fingers in cash boxes that do not belong to them. This is the story of a young girl who used to live a lavish lifestyle.   Many are familiar with her in our beautiful city because of her spending spree. Her name is reminiscent of that other deceased princess from the Queen’s land. Yes, I mean the globally acclaimed princess who died some decades ago in that horrific car crash. While the deceased princess was known more because of her philanthropic work, our wayward princess was known for patronising different up-market watering holes where she purchased expensive bottles. She was known for having fun throughout the week, and would create a carnival atmosphere wherever she was — whatever time — all because of her perceived fat wallet. Gentle reader, she was a party animal! What we did not know all along was that she was busy stealing from her employer to fund her insatiable appetite for expensive items. This only came to light recently when she fled the country after her employer audited the cash flows in the company. It emerged that the fuel retail company was fleeced of a substantial amount of money that was diverted to her personal use over a period of time. As Yours Truly pens this piece, our uncultured princess is on the police wanted list. The fugitive is believed to have fled to that other country located in the northern direction of our beloved teapot shaped nation. Those who confided in Blabber said she is now staying with a relative in that country. Blabber really wants our young ones to understand that money is earned, and never admire some of these big spenders in our midst when you do not know the source of their flouted wealth. Far from the madness of this unguided princess of ours, word reading Yours Truly is that there are more players in blood money acts that drove this other local businessman into kidnapping and murdering innocent people. I mean, this other businessman we blabbered about in our previous instalment who operates a few kombis and two grinding mills in that outlying high density suburb named after its prior traditional leadership. Blabber is informed that he is not the only one in the game. Blabber was promised details about this other prominent businessperson who is also unleashing a reign of terror in almost the same area. He is also into some sort of politics. Oh, by the way, Blabber was surprised to learn that some folks believe that this other boy who fell from riches to rags was only dramatising everything. They say he still has his things intact, and was just a content creator, seeking attention. For reasons best known to them, he will soon get back to his luxurious lifestyle after seeing who really cares for him and does not. Much as Blabber does not believe this line of thinking, only time will tell. We can only wait and see! Watch the space!   "
https://www.manicapost.co.zw/born-to-turn-trash-into-treasure/,Born to turn trash into treasure,"The ManicaPost   Liberty Dube
Entertainment Correspondent “HAVING noticed a lot of abandoned used tyres and car parts littering the streets, and being someone who cares for the environment, I decided to recycle the trash into useful items. “I collect worn out tyres, rims, shocks and springs, among other scraps and use them to make furniture, garden décor and novel versions of braais. Even though my core aspiration was to promote the value of recycling, lack of public education about recycling was a setback. I learnt bead work to make fashion bags and novelties, while exploring the manufacturing of cleaning products and signature essences for women and men to make up for any shortfalls in my enterprise. My bead work has become largely recognised to be of a high craftsmanship standard.” This is an inspirational tale of Beauty Dorothy Hughes, who carves beautiful artefacts through recycling ‘end of life’ worn out wares such as tyres and scrap metal. In scrap metal, she recycles worn out tractor disks, car rims and checker plates, among other things. She has also made tremendous strides in making an environmental and economic impact through responsible green business practices, while focusing on using state-of-the-art technology to increase efficiency, quality and reduce costs for end users. She believes that all output from the recycling process should be used in high-value applications— not incinerated. She dreams to open a recycling plant in Manicaland by 2030. “I am inspired to bring worn out wares back into the world. Recycling and re-purposing is in my blood. I am also into designing novelty beaded accessories from recycled plastic. Industry and manufacturers often produce more rubbish than I can actually repurpose to clean up the ever increasing environmental problems effectively. Some people are burning tyres, polluting the environment, while some are cutting down trees, harming the climate,” she said. Hughes, who owns an entity, Dollar Deals Manufacturers, recently signed a Memorandum of Understanding (MoU) with Zimbabwe Prisons and Correctional Services (ZPCS) Manicaland, in a development which will see her equipping inmates with skills and knowledge in the art, craft and design and be able to produce various artefacts. She aims to continuously innovate and apply environment friendly technologies for conversion of waste into value-added products with the aim to maximise stakeholder value. The development will play a critical role towards self- sustenance of the inmates.   She has already started the ball rolling to impart the skills.   She revealed in an interview recently that she is excited to work with the inmates. “I am happy that the organisation is growing in leaps and bounds and the partnership with ZPCS Manicaland will play a critical role in empowering the inmates. “The inmates’ passion and zeal to learn is unbelievable. It motivates me to work with them as this will help them to sustain them after serving their sentences,” she said.   Officer Commanding ZPCS in Manicaland, Commissioner Spetosomusa Chinobva, said such partnerships with stakeholders will go a long way in rehabilitating inmates.   "
https://www.manicapost.co.zw/motsi-just-friends-headline-bob-marley-tribute-gig/,"Motsi, Just Friends headline Bob Marley tribute gig","The ManicaPost   Liberty Dube
Entertainment Diary Micasa THE upmarket joint joins the rest of the global reggae music fraternity to commemorate the late reggae legend, Bob Marley’s birthday.   Veteran reggae artiste and former Bootkin Clan and Transit Crew band member, Mannex Motsi will perform live tonight (Fridy) in a reggae explosion gig. Resident DJs, Frazer, Terminator and Cape Lorel are expected to light up the venue for the rest of the weekend with a mixed bag of music. Chitsa Bar and Liquids Exciting local reggae outfit, Just Friends headlines this year’s Bob Marley reggae commemoration at the joint situated in Dangamvura.   The group, popular for performing reggae cover songs for celebrated reggae artistes, dead and alive, will jump on stage on Sunday at 7pm.   The 79th birthday anniversary of reggae icon, Robert Nesta Marley, which will run for the whole weekend will see resident DJs, Stixxie, Shamie D, Popinjo and T Muffin taking turns to entertain revellers on the turntables from tonight till Sunday. Club Mandisa DJ Smokey will entertain patrons at the joint situated at the heart of the city from tonight till Sunday.   He will perform in the main bar, starting at 7pm, while DJ Tindo will entertain revellers in the VIP section. The VIP section will this weekend host 26 vixens drawn from across cities such as Gweru, Bulawayo, Kwekwe, Kadoma and Harare.   Patrons will be treated to sumptuous traditional meals courtesy of Mandisa cuisines. Brews and Barrels A formidable pair of wheel spinners, Spillz and PhulStop will take turns to entertain patrons at the joint situated in Florida.   They will start performing tonight till Sunday.   The disc spinners will exude their dexterity in the VIP and VVIP sections as well as in the open air arena.   All shows start at 8pm. Villa Spot Popularly known as Beer Guzzlers Paradise, the joint situated in Dangamvura has a packed itinerary this weekend, starting tonight as DJs, Quick DJ, Zincyard, Brizz and Famous will be jamming old and fresh beats. The four wheel spinners will tomorrow and Sunday take turns on the turntables for the new and old school sessions, respectively.   The open air joint hosts revellers all week through for sessions such as Ladies and Men’s Night.   "
https://www.manicapost.co.zw/dorcas-moyo-in-historic-album-launch/,Dorcas Moyo in historic album launch,"The ManicaPost   Liberty Dube
Entertainment Correspondent IT was for the first time in years for masters of different music genres to share the stage before hundreds of dancing and merry-making revellers for the whole day in Mutare. The venue was Chancellor Primary School where more than 10 artistes performed at award-winning gospel musician, Dorcas Moyo’s album launch last Saturday.   The historic launch started off on a low key note around midday, but went a gear up as hundreds of people trickled later during the day. The crowd which consisted of all ages groups enjoyed every bit of the stage performances. The appearance of sungura ace, Alick Macheso further lit up the event as he had a tight schedule after performing in Murombedzi the previous night. He was billed to perform at Aquatic Complex in Chitungwiza that Saturday evening before travelling to Rusitu in Chimanimani the following day, a tight schedule that made many doubt his appearance at the event. Macheso mesmerised many with his heart-pounding bass guitar, especially on the song, Mhanza Haisekwi, a song he co-carved with Dorcas Moyo before he later posted on his Facebook page: “We had a great time in Mutare as I shared the stage with Dorcas Moyo. It was a show to remember and we will forever cherish the night.” Dendera king, Sulumani Chimbetu did not disappoint either and put the icing on the cake with a sterling performance. The crowd was also captivated by popular Kenya-based gospel musician, Fenny Kerubo, whose stage choreography was top notch. Other artistes who performed such as Carol Chidzikwe, Tinashe Murigo, Joyful Praise Choir, Fungisai Zvakavapano-Mashavave, Mathias Mhere, Sabastian Magacha and Blessing Shumba put up top drawer performances. Zim dancehall artiste, Seh Calaz pulled up a surprise, and took the crowd into delirium after he appeared on stage to congratulate Moyo for a successful album launch. He was not part of the line-up, but he had a show elsewhere in Mutare, and made a surprise appearance. Moyo, who was elegantly dressed launched the album, Mvere Dzabvepi, in style as she performed live some of the new songs. The project carries 10 tracks that include Ngaasimudzwe Jesu, Mvere Dzabvepi, Umungwarire, featuring Sulumani Chimbetu, Muroyi Ngaafe, Africa Munoida, Segondo, featuring South-African based diva, Winnie Mashaba, Zvotoparadzana, Kumagumo, Huya Undinyaradze and Ndoimba Sei. It was engineered and produced by Olin Anderson at Kunashe Studios. The album is a cocktail of storyline. While righteousness is its fulcrum, there are lots of scintillating lines enshrined in each and every song — hypocrisy, drug abuse, and faith in God — to sum up the masterpiece. Dorcas Moyo described the event as a huge success which exceeded her expectations. “We had 99.9 percent of the lined up artistes taking up to the stage to showcase their talents. “We managed to go through and tick all the elements of the programme. Our expectations were met and we are happy about that. “The number of revellers could have been more since we were also very generous giving away complementary tickets to the general populace. “I would like to express my profound gratitude to the people of Mutare and beyond. We had people from Kariba, Bulawayo, Gweru, Harare and other places coming down. The people of Manicaland are amazing. “The confidence they showed us was just unbelievable. I want to implore my brothers and sisters that we should stick together forever,” she said.   "
https://www.manicapost.co.zw/search-for-missing-dj-touch/,Search for missing DJ Touch,"The ManicaPost   Liberty Dube
Entertainment Correspondent POPULAR wheel spinner, content creator and videographer, Nyasha Tigere (35), popularly known as DJ Touch has been missing since February 12. Police and his family have launched a search for the talented disc-spinner after he last communicated on February 12. Nyasha’s mother, Spiwe Tigere said her son’s phone is not reachable.   She said they tried to contact his friends, fellow DJs and artistes to no avail. “A few days prior to his missing, we travelled to Rusape for a relative’s funeral. I called him to join us at the funeral and he promised to do so. We expected him to be at the funeral, but he later told me that he could not attend as he was busy in a recording session with a musician. I called him the following day, but he did not respond. He later texted saying he was busy in the studio and he would return my call later. “We did not panic as he would sometimes spend a day or two without coming home doing some recording sessions. We trusted that everything was fine. After spending three days without coming home in Dangamvura, we started panicking. We tried calling him, but his phone was not reachable. We made a police report in March. “We even visited Victoria Chitepo Provincial Hospital as well as their mortuary among other places in search for him. We decided to turn to the social media. “We checked with his friends, fellow DJs and musicians to no avail. We now pin our hope in God as we pray that we will see him again. We are extremely worried,” she said. Nyasha is 1.78 metres tall and weighs 87kg. He is dark in complexion. Tigere reported the matter at Mutare Central Police Station, under reference number IR 471/24. Acting Manicaland provincial police spokesperson, Assistant Inspector Wiseman Chinyoka appealed to members of the public with information pertaining the whereabouts of the videographer to contact their nearest police station.   "
https://www.manicapost.co.zw/blabbermouth-he-made-it-rain-now-its-raining-on-him/,"BLABBERMOUTH: He made it rain, now it’s raining on him","The ManicaPost   THERE is a catchphrase: “I make it rain.”   It is a line taken from a track by American rapper, Fat Joe, featuring R. Kelly, T.I, Lil Wayne, Baby, Rick Ross and Ace Mac. This is the same line usually hurled by our brothers who would have turned into overnight millionaires as they throw money into the air in public spaces, and let the poor, in our numbers, scramble for cash on the ground. And this dear “King” of ours is one of them who used to “make it rain” when things were flowing for him. Indeed, he made money and lived a lavish lifestyle, occupying rented upmarket houses, known for their swimming pools and 50-acre lawn yards. But somehow things turned upside down, and our dear brother is now back at his mother’s house in that other overcrowded high-density suburb, where most of the residents hailed from — the city’s oldest high-density suburb.   Gentle reader, the boy is now in a sorry state! He is begging for a lift into town to the extent of seating “paKadoma.” Touts and vendors are taking turns to buy him US$1 lunch in town and these have become his friends, while those he used to roll with in the fast lane have suddenly disappeared. Blabber is also reliably informed that whatever is happening to this bozo is a direct result of supernatural money spinning charms that he possessed. Such is the uncontrolled love for money in our midst. No wonder why they say, blood may be thicker than water, but money flows deeper than both! Oh by the way, what is this that we hear about this other local businessman who is continuing with his human blood rituals for the sake of, not only making money, but also to feed his goblins. Yes, this other well-known filthy businessman who operates a small fleet of minibuses as well as two grinding mills on the outskirts of our beautiful city. Residents in that other suburb located about 20 kilometres away from the central business district, on our way to the country’s oldest city, are now scared of randomly walking at night for fear of being kidnapped. He is allegedly kidnapping people for his rituals. Ladies and gentlemen, we actually have people in our midst who allegedly lost their parents after being kidnapped and murdered by this goon, and somehow he has a way of concealing his shenanigans. Recently, there is this lady who cheated death by a whisker after almost being kidnapped by the businessman’s mercenaries. Those with ears have heard!   "
https://www.manicapost.co.zw/dj-tanaman-vixens-to-light-up-mutare/,"DJ Tanaman, Vixens to light up Mutare","The ManicaPost   Entertainment Diary
Compiled By Liberty Dube Chitsa Bar and Liquids ONE of Zimbabwe’s finest radio and club DJs, Tanaman descends on Mutare for his first ever show at the watering hole situated in Dangamvura tomorrow. He will play starting at 7pm till the last man drops in a show dubbed, Weekend Vibes.   The Star FM wheel spinner will be supported by resident DJs, Stixxie, Shamie D, Popinjo and Tee Muffin. Club Mandisa A total of 20 pole dancers and vixens from across the country will converge at the joint located at the city centre this weekend for a pole dancers clash. They will perform in the VIP section from 7pm till 4am.   DJ Smokey will play in the VIP arena, while DJ Kiss will entertain patrons in the main auditorium. All shows start at 8pm. Brews and Barrels The watering hole situated in Florida will reverberate into sound this weekend, starting tonight with an exciting entertainment package. A blend of old and new school DJs, Phulstop, Mshez and Spillz will exchange hands on the decks with danceable beats at the open space arena as well as in the VIP section.   Patrons will be treated to an assortment of music while enjoying local and exotic beverages.   The shows start at 7pm. Micasa DJs Cape Lorel, Frazer and Terminator will take turns to entertain patrons at the upmarket joint this weekend, starting tonight.   New school music specialist, Cape Lorel will exude his dexterity on the turntables tonight till midnight before Terminator and Fraizer excite revellers tomorrow with a mixed bag of jams.   Afro-jazz sensation, WaCharie headlines this Sunday’s jazz session and is expected to sample tracks from his forthcoming album due for release in June. Acid Bar Resident DJ, Boss Yala and other selected DJs will take turns to entertain revellers on the turntables this weekend, starting tonight till Sunday.   Patrons, who include Acid pool team players will enjoy the music as they lock horns with a visiting team since the pool league resumed last week. DJ Yala is also expected to take patrons down the memory lane with old school beats on Sunday afternoon.   "
https://www.manicapost.co.zw/all-set-for-dorcas-moyo-album-launch/,All set for Dorcas Moyo album launch,"The ManicaPost   Liberty Dube
Entertainment Correspondent THE wait is finally over! The much-hyped carnival where multi award-winning gospel musician, Dorcas Moyo will be officially launching her new album is on tomorrow (Saturday). The event will be held at Chancellor Junior School, and stands as one of the biggest merriments in Manicaland so far this year, with more than 20 artistes, including Zimbabwe’s biggest names in the music industry, performing live. The album titled Mvere Dzabvepi carries 11 tracks, among them the title track, Mvere Dzabvepi, Ngaasimudzwe Jesu, Umungwarire, Muroyi Ngaafe, Ndoimba Sei and Segondo. It will feature various artistes and personalities such as Batsirai Shasha and Shugeta. The launch will be exceptional in many ways, chief among them, the expected presence of gospel musicians, Fenny Kerubo and Rose Muhando from Kenya and Tanzania, respectively. This will be Moyo’s first album launch that features the East Africa greats.    Fenny Kerubo The two divas are expected to add a unique and exciting feel to the launch. On the local front, the launch will be graced by sungura veteran, Alick Macheso, Dendera star, Sulumani Chimbetu and gospel singers, Mathias Mhere and Fungisai Zvakavapano-Mashavave, Joyful Praise Choir, Cloris Machuwaire, Whitney Ngorima, Caroline Chidzikwe, Tinashe Murigo, Sebastian Magacha, Blessing Shumba and Tinashe Murigo. Moyo last released the Mhanza Haisekwe album in 2023, which saw her being voted the best female artiste on Radio Zimbabwe. She also scooped a prestigious gong at last year’s NAMA awards – emerging as the outstanding female musician. Moyo, who has spent most of her time, especially during the last two months rehearsing for the big event, is looking forward to a memorable event. She believes her lyrical wizardry and poetic affluence will make the forthcoming album a stand out.    Mathias Mhere Moyo said they will have a roadshow and a cavalcade as she and other artistes drive to the venue. The event starts at 11am till late. “The preparations have gathered momentum. It is not a secret that this is probably one of the biggest musical events to happen in Mutare. As such, it comes with bigger demands. The artistes are ready and raring to descend on Mutare. Remember, we have international and renowned gospel artistes coming down as well. The last to confirm was Rose Muhando, one of the biggest gospel artistes on the continent.    Sulumani Chimbetu “We are putting up final pieces of the puzzle and we are confident that we will have a worthwhile day. All the artistes billed to perform have confirmed participation and raring to go. The logistical aspects are in their final stages. We have international artistes gracing the event and our city. “We will have lots of fun and games for kids and adults. It is a perfect day for a family outing. The album is ready to be served. All what is left is for the people of Manicaland and beyond to throng Chancellor Junior School for the grand occasion,” said Moyo. Other festivities characterising the day include kids’ games, jumping castles, horse riding and braai.   "
